,geo_code,Income (F),Government Transfer (F)
545,35250365,27968,11072
546,35250366,24704,6936
547,35250367,29696,5616
548,35250368,32533,6928
549,35250369,26528,6272
550,35250370,33408,4720
551,35250371,29504,6416
552,35250372,38016,6224
553,35250373,31168,8144
554,35250374,32640,5776
555,35250375,33920,6320
556,35250376,33664,4792
557,35250377,29312,6768
558,35250378,37504,5152
559,35250379,33408,11488
560,35250380,33664,3352
561,35250381,34432,6984
562,35250382,31104,5776
563,35250383,18752,10080
564,35250384,15792,5000
565,35250385,32512,4192
566,35250387,51328,3080
567,35250388,48256,3352
568,35250389,36864,2992
569,35250390,33152,1620
570,35250391,36224,2488
571,35250392,38912,2680
572,35250393,36800,2840
573,35250394,24704,1076
574,35250395,19648,9760
575,35250396,26432,7616
576,35250397,24640,600
577,35250398,4656,9677
578,35250399,6960,11061
579,35250400,24000,2888
580,35250401,26656,726
581,35250402,33536,3376
582,35250403,32085,5056
583,35250404,31808,4512
584,35250405,34432,2992
585,35250406,22720,2856
586,35250407,25536,4856
587,35250408,19168,4736
588,35250409,25664,11424
589,35250410,37504,3568
590,35250411,34560,6416
591,35250412,21792,14912
592,35250413,30656,5048
593,35250416,23616,4592
594,35250417,23840,3936
595,35250418,22016,5680
596,35250419,21312,2772
597,35250420,34560,1340
598,35250421,30624,5584
599,35250422,19456,11616
600,35250423,25664,8064
601,35250424,23872,8560
602,35250425,28992,3368
603,35250426,33152,3992
604,35250427,34432,558
605,35250428,18560,6768
606,35250429,21216,6512
607,35250430,30528,3336
608,35250431,23616,5776
609,35250434,22310,2148
610,35250435,17600,10080
611,35250436,23360,11168
612,35250437,16704,7760
613,35250438,24640,8352
614,35250439,20928,6256
615,35250440,26112,6096
616,35250441,34368,2284
617,35250442,23616,6928
618,35250443,34432,6672
619,35250444,25792,13248
620,35250445,27712,8288
621,35250446,25088,5488
622,35250447,22464,6512
623,35250448,20640,6728
624,35250449,22016,4704
625,35250450,28587,8176
626,35250451,0,0
627,35250452,25152,6976
628,35250453,20096,6928
629,35250454,24128,5016
630,35250455,21824,6560
631,35250456,15072,14688
632,35250457,0,0
633,35250458,16352,11872
634,35250459,15344,7688
635,35250460,26432,8016
636,35250461,20480,8200
637,35250462,17600,7136
638,35250463,27029,11104
639,35250464,22016,4592
640,35250465,17920,5264
641,35250466,23424,6736
642,35250467,15520,13216
643,35250468,30656,1740
644,35250471,21440,7403
645,35250472,20224,2925
646,35250473,22496,7808
647,35250474,17472,10720
648,35250475,20736,7792
649,35250476,23872,5104
650,35250477,19584,9088
651,35250478,25088,8896
652,35250479,25792,7360
653,35250480,21184,6328
654,35250481,20736,8112
655,35250482,19008,11776
656,35250483,24128,8448
657,35250484,23104,9824
658,35250485,24128,5552
659,35250486,24171,9248
660,35250487,24896,4656
661,35250488,25408,6800
662,35250489,22272,7920
663,35250490,30400,7264
664,35250491,15648,14240
665,35250492,23872,7712
666,35250493,33152,5424
667,35250494,29056,8480
668,35250495,25408,8992
669,35250496,0,0
670,35250497,28352,7952
671,35250498,23616,6960
672,35250499,29472,5024
673,35250501,40704,5744
674,35250502,25600,3732
675,35250503,20544,1588
676,35250504,13472,560
677,35250506,42880,4072
678,35250507,40960,4272
679,35250508,44928,4560
680,35250509,39296,2664
681,35250510,46592,3368
682,35250511,37184,4240
683,35250512,34688,5392
684,35250513,30656,3984
685,35250514,39552,4520
686,35250515,37632,8384
687,35250516,31744,6624
688,35250517,35584,6112
689,35250518,29888,6960
690,35250519,33664,8112
691,35250520,27776,6808
692,35250521,23872,7344
693,35250522,0,0
694,35250523,33920,7920
695,35250524,22592,9200
696,35250525,30784,7664
697,35250526,17888,11413
698,35250527,33408,7520
699,35250528,30656,9824
700,35250529,26112,10656
701,35250530,29152,6736
702,35250531,26944,7936
703,35250532,35200,7184
704,35250533,24704,7632
705,35250534,33920,8640
706,35250535,18496,10736
707,35250536,25536,10144
708,35250537,25728,7008
709,35250538,32192,8736
710,35250539,27712,6064
711,35250540,32896,7568
712,35250541,24224,7920
713,35250542,31968,6032
714,35250545,38720,8352
715,35250546,23744,7632
716,35250547,24256,5776
717,35250548,25280,7728
718,35250549,28992,6928
719,35250550,33408,8352
720,35250551,26240,6960
