geo_code,,in labour force,not in labour force,employed,unemployed
35240541,male,125,35,125,0
35240542,female,145,125,140,0
35240542,male,110,80,100,0
35240543,female,150,90,150,0
35240543,male,195,65,180,10
35240544,female,145,90,135,10
35240544,male,115,65,105,0
35240545,female,275,100,260,15
35240545,male,280,75,265,15
35240546,female,205,80,180,20
35240546,male,235,60,210,25
35240590,female,310,235,295,15
35240590,male,290,115,255,30
35240591,female,340,145,300,40
35240591,male,330,135,290,40
35240592,female,500,365,440,60
35240592,male,600,180,570,20
35240593,female,325,165,315,15
35240593,male,385,175,375,10
35240594,female,235,95,215,20
35240594,male,275,95,260,15
35240595,female,265,255,255,10
35240595,male,240,165,225,15
35240596,female,220,520,210,15
35240596,male,250,295,245,0
35240598,female,570,590,525,40
35240598,male,530,350,500,30
35240641,female,135,75,120,10
35240641,male,175,35,160,10
35240642,female,130,80,130,0
35240642,male,155,80,145,10
35240643,female,160,95,160,0
35240643,male,215,50,210,10
35240644,female,155,105,150,10
35240644,male,160,80,150,15
35240645,female,90,65,85,0
35240645,male,120,65,115,10
35240647,female,165,100,160,10
35240647,male,180,85,165,15
35240648,female,280,65,265,15
35240648,male,200,70,185,0
35240649,female,235,70,220,10
35240649,male,210,30,200,10
35240650,female,230,110,225,10
35240650,male,265,80,250,15
35240651,female,150,65,150,0
35240651,male,150,30,145,0
35240654,female,160,90,155,0
35240654,male,195,50,185,0
35240655,female,260,325,250,15
35240655,male,300,260,255,40
35240656,female,100,50,90,10
35240656,male,115,30,110,10
35240659,female,270,130,255,20
35240659,male,215,50,200,15
35240660,female,190,70,180,15
35240660,male,170,50,145,25
35240661,female,135,55,130,10
35240661,male,195,50,180,15
35240662,female,515,360,495,15
35240662,male,455,295,445,10
35240663,female,170,65,160,10
35240663,male,170,40,155,15
35240664,female,135,160,125,10
35240664,male,170,80,140,25
35240665,female,135,95,120,10
35240665,male,140,50,135,10
35240666,female,300,155,275,20
35240666,male,235,85,230,0
35240667,female,215,70,215,0
35240667,male,205,30,180,25
35240668,female,165,30,155,0
35240668,male,165,25,165,0
35240669,female,295,75,290,10
35240669,male,355,35,345,10
35240670,female,180,65,180,0
35240670,male,205,55,190,10
35240671,female,170,55,165,10
35240671,male,185,45,170,10
35240672,female,265,85,260,10
35240672,male,250,75,245,10
35240673,female,110,60,110,10
35240673,male,115,15,110,0
35240674,female,200,65,190,10
35240674,male,245,25,220,20
35240675,female,340,125,320,20
35240675,male,370,75,340,25
35240676,female,300,95,290,15
35240676,male,295,45,275,15
35240677,female,115,45,110,10
35240677,male,170,30,155,15
35240678,female,425,300,390,30
35240678,male,395,160,390,10
35240679,female,180,75,180,0
35240679,male,220,50,210,0
35240680,female,395,100,370,25
35240680,male,395,55,390,10
35240681,female,160,100,150,10
35240681,male,135,85,135,10
35240682,female,215,100,210,0
35240682,male,200,30,200,0
35240683,female,245,45,230,15
35240683,male,225,45,205,15
35240684,female,235,105,215,20
35240684,male,190,40,175,15
35240685,female,345,130,325,25
35240685,male,340,65,320,20
35240686,female,375,75,345,30
35240686,male,360,45,335,25
35240756,female,215,60,190,25
35240756,male,215,35,205,15
35240757,female,160,50,155,10
35240757,male,155,35,155,0
35240758,female,280,180,255,25
35240758,male,310,100,290,20
35240759,female,140,120,130,10
35240759,male,185,90,175,10
35240780,female,285,145,275,10
35240780,male,280,75,265,15
35240782,female,200,100,195,10
35240782,male,245,75,235,10
35240783,female,105,55,100,10
