geo_code,,English_only,French_only,Neither English nor French
35240392,female,260,5,5
35240392,male,260,5,50
35240393,female,255,5,0
35240393,male,225,0,25
35240394,female,195,0,0
35240394,male,190,5,25
35240395,female,230,5,0
35240395,male,245,0,30
35240396,female,175,5,0
35240396,male,170,0,30
35240397,female,1150,35,10
35240397,male,915,15,210
35240398,female,285,10,5
35240398,male,255,5,45
35240399,female,235,5,0
35240399,male,255,5,30
35240400,female,630,20,0
35240400,male,590,10,80
35240401,female,365,10,0
35240401,male,340,10,40
35240402,female,225,5,0
35240402,male,210,5,30
35240403,female,205,15,5
35240403,male,160,5,55
35240404,female,290,5,0
35240404,male,270,0,30
35240405,female,325,5,10
35240405,male,300,5,40
35240406,female,150,5,0
35240406,male,150,5,15
35240409,female,275,10,0
35240409,male,240,5,25
35240410,female,115,10,0
35240410,male,130,5,15
35240411,female,220,15,5
35240411,male,240,15,30
35240412,female,185,10,5
35240412,male,185,5,25
35240413,female,200,10,0
35240413,male,190,5,35
35240414,female,190,0,0
35240414,male,180,5,25
35240417,female,230,5,5
35240417,male,210,5,65
35240420,female,230,5,0
35240420,male,235,0,15
35240421,female,150,0,5
35240421,male,140,0,20
35240422,female,250,5,5
35240422,male,195,10,40
35240423,female,300,5,5
35240423,male,180,5,40
35240425,female,185,5,0
35240425,male,190,0,10
35240427,female,480,10,0
35240427,male,395,15,70
35240428,female,210,5,0
35240428,male,170,5,45
35240429,female,190,10,5
35240429,male,140,5,60
35240431,female,140,0,0
35240431,male,140,0,20
35240432,female,215,5,0
35240432,male,210,10,25
35240433,female,300,5,0
35240433,male,280,0,20
35240436,female,115,5,0
35240436,male,100,5,25
35240437,female,280,5,0
35240437,male,200,5,35
35240438,female,265,5,0
35240438,male,275,5,15
35240439,female,215,5,0
35240439,male,225,0,20
35240440,female,185,10,0
35240440,male,175,10,30
35240441,female,305,5,5
35240441,male,305,0,25
35240442,female,210,0,0
35240442,male,195,0,20
35240443,female,290,5,0
35240443,male,275,0,15
35240444,female,195,5,5
35240444,male,210,5,25
35240445,female,225,5,5
35240445,male,220,5,70
35240446,female,270,5,5
35240446,male,210,0,55
35240447,female,260,0,5
35240447,male,220,0,65
35240448,female,240,10,0
35240448,male,240,5,35
35240449,female,125,5,0
35240449,male,120,0,15
35240450,female,255,10,5
35240450,male,280,5,30
35240451,female,200,5,5
35240451,male,220,10,55
35240452,female,145,0,5
35240452,male,140,0,25
35240453,female,225,5,0
35240453,male,235,5,45
35240455,female,350,15,0
35240455,male,190,5,55
35240459,female,180,5,0
35240459,male,165,0,25
35240460,female,185,5,0
35240460,male,180,5,25
35240461,female,195,5,0
35240461,male,210,5,40
35240462,female,190,10,0
35240462,male,140,0,30
35240463,female,250,5,5
35240463,male,240,0,55
35240464,female,170,0,0
35240464,male,110,0,10
35240465,female,390,15,0
35240465,male,280,5,85
35240466,female,305,0,0
35240466,male,240,5,45
35240467,female,255,5,5
35240467,male,245,0,35
35240468,female,225,0,0
35240468,male,215,0,20
