,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
391,35250189,60,45,45,45
392,35250190,50,25,20,20
393,35250191,50,50,45,45
394,35250192,140,85,120,120
395,35250193,40,25,20,20
396,35250194,60,40,30,30
397,35250196,55,30,30,30
398,35250197,65,20,35,35
399,35250199,280,145,190,190
400,35250200,65,30,25,25
401,35250201,35,10,15,15
402,35250202,85,45,55,55
403,35250203,75,55,45,45
404,35250204,45,25,40,40
405,35250205,30,10,15,15
406,35250206,60,40,30,30
407,35250207,40,15,10,10
408,35250208,55,20,20,20
409,35250209,50,10,25,25
410,35250210,60,30,25,25
411,35250211,65,5,5,5
412,35250212,75,20,15,15
413,35250213,80,20,10,10
414,35250216,50,20,20,20
415,35250217,50,25,25,25
416,35250218,45,40,30,30
417,35250221,70,15,5,5
418,35250222,55,25,25,25
419,35250223,65,30,15,15
420,35250224,35,20,10,10
421,35250225,50,20,15,15
422,35250226,65,10,10,10
423,35250227,45,15,25,25
424,35250230,55,30,25,25
425,35250231,100,40,45,45
426,35250232,35,30,30,30
427,35250233,60,35,20,20
428,35250234,25,15,20,20
429,35250238,50,30,40,40
430,35250239,35,20,15,15
431,35250240,45,35,15,15
432,35250241,30,20,15,15
433,35250242,0,0,0,0
434,35250243,110,55,50,50
435,35250248,80,60,50,50
436,35250249,65,15,10,10
437,35250250,75,20,25,25
438,35250251,45,20,15,15
439,35250254,75,40,25,25
440,35250255,65,30,20,20
441,35250256,75,30,40,40
442,35250257,70,15,10,10
443,35250258,130,20,10,10
444,35250259,65,25,25,25
445,35250260,70,10,15,15
446,35250261,40,30,10,10
447,35250262,105,25,20,20
448,35250263,105,50,65,65
449,35250264,55,20,30,30
450,35250265,65,20,25,25
451,35250266,50,20,15,15
452,35250267,80,30,25,25
453,35250269,35,15,20,20
454,35250270,45,15,20,20
455,35250271,60,20,20,20
456,35250272,65,25,10,10
457,35250273,50,20,20,20
458,35250274,70,55,50,50
459,35250275,55,25,30,30
460,35250276,75,35,30,30
461,35250277,35,20,15,15
462,35250278,50,15,30,30
463,35250279,85,40,45,45
464,35250280,35,25,25,25
465,35250281,45,30,25,25
466,35250282,55,30,40,40
467,35250283,85,30,40,40
468,35250284,40,25,20,20
469,35250285,90,55,50,50
470,35250286,60,20,15,15
471,35250287,90,40,50,50
472,35250288,55,20,30,30
473,35250289,65,25,40,40
474,35250290,65,35,40,40
475,35250291,100,50,95,95
476,35250293,115,45,50,50
477,35250294,40,20,25,25
478,35250295,35,20,25,25
479,35250296,70,30,25,25
480,35250297,70,30,45,45
481,35250298,55,35,45,45
482,35250299,85,30,40,40
483,35250300,120,55,45,45
484,35250302,70,20,30,30
485,35250303,85,30,25,25
486,35250304,60,25,45,45
487,35250305,75,30,30,30
488,35250306,25,25,25,25
489,35250307,70,25,20,20
490,35250308,90,40,55,55
491,35250309,30,20,30,30
492,35250310,45,15,35,35
493,35250311,55,25,45,45
494,35250312,45,25,20,20
495,35250313,140,25,30,30
496,35250315,170,10,5,5
497,35250316,80,45,35,35
498,35250317,65,35,25,25
499,35250318,25,5,5,5
500,35250319,25,25,15,15
501,35250320,60,30,20,20
502,35250321,40,15,10,10
503,35250322,45,25,15,15
504,35250323,45,30,25,25
505,35250324,40,15,20,20
506,35250326,30,20,5,5
507,35250327,40,25,20,20
508,35250328,50,20,25,25
509,35250329,55,25,5,5
510,35250330,35,15,20,20
511,35250331,30,15,10,10
512,35250332,65,30,25,25
513,35250333,70,40,25,25
514,35250334,65,30,20,20
515,35250335,45,25,20,20
516,35250336,55,40,30,30
517,35250337,95,45,10,10
518,35250338,80,20,15,15
519,35250339,65,25,25,25
520,35250340,25,20,15,15
521,35250341,60,25,20,20
522,35250342,45,30,20,20
523,35250343,65,30,25,25
524,35250344,70,30,25,25
525,35250345,45,20,25,25
526,35250346,50,30,30,30
527,35250347,55,25,25,25
528,35250348,60,30,40,40
529,35250349,50,30,25,25
530,35250350,55,25,15,15
531,35250351,45,20,5,5
532,35250352,60,25,15,15
