,geo_code,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
164,35240404,60,80,0,0,15,15,0
166,35240405,80,115,0,0,0,10,0
168,35240406,50,60,0,0,0,0,0
170,35240409,75,70,10,10,0,10,0
172,35240410,45,40,10,10,0,0,10
174,35240411,65,90,10,10,0,10,0
176,35240412,35,45,0,0,0,0,0
178,35240413,70,25,15,15,0,10,0
180,35240414,60,50,10,10,0,0,0
182,35240417,85,90,10,10,0,20,0
184,35240420,55,55,10,10,0,10,0
186,35240421,65,40,10,10,0,20,0
188,35240422,85,90,10,10,10,15,10
190,35240423,120,75,0,0,0,20,0
192,35240425,55,20,0,0,0,20,0
194,35240427,140,170,0,0,10,35,10
196,35240428,80,45,15,15,0,10,0
198,35240429,75,80,10,10,10,10,10
200,35240431,20,35,0,0,0,10,0
202,35240432,65,65,0,0,0,20,0
204,35240433,80,40,0,0,0,20,0
206,35240436,35,40,0,0,0,10,0
208,35240437,55,70,0,0,0,0,0
210,35240438,45,80,0,0,0,15,0
212,35240439,50,60,0,0,0,10,0
214,35240440,65,40,10,10,0,25,0
216,35240441,85,85,15,15,10,0,0
218,35240442,45,65,0,0,0,25,0
220,35240443,95,60,10,10,0,10,0
222,35240444,30,50,20,20,0,10,0
224,35240445,105,40,10,10,0,20,0
226,35240446,95,60,0,0,0,20,0
228,35240447,85,110,0,0,0,10,0
230,35240448,65,60,10,10,0,10,10
232,35240449,25,40,0,0,0,0,0
234,35240450,60,85,0,0,10,10,0
236,35240451,55,95,0,0,0,15,0
238,35240452,45,35,10,10,0,10,0
240,35240453,75,45,10,10,0,0,0
242,35240455,110,110,10,10,0,0,0
244,35240459,35,25,0,0,0,15,0
246,35240460,50,50,15,15,0,30,0
248,35240461,45,45,0,0,0,25,0
250,35240462,75,40,10,10,0,25,0
252,35240463,75,120,0,0,0,0,0
254,35240464,40,35,10,10,0,15,0
256,35240465,130,135,20,20,0,15,0
258,35240466,95,115,0,0,0,10,10
260,35240467,75,65,0,0,0,25,0
262,35240468,40,25,15,15,10,25,10
264,35240469,60,95,10,10,0,10,0
266,35240470,15,65,10,10,10,20,10
268,35240471,50,15,10,10,0,10,0
270,35240472,105,70,10,10,0,30,0
272,35240473,50,40,0,0,10,10,0
274,35240474,60,50,0,0,0,30,0
276,35240475,40,85,15,15,0,10,0
278,35240476,45,65,10,10,10,10,10
280,35240477,55,65,0,0,10,20,0
282,35240478,35,70,10,10,0,10,0
284,35240479,70,50,0,0,0,10,0
286,35240480,110,90,10,10,0,0,0
288,35240481,80,55,10,10,0,0,0
290,35240482,115,120,10,10,0,10,10
292,35240483,45,60,0,0,0,20,0
294,35240484,115,105,10,10,0,15,0
296,35240485,55,45,15,15,0,0,0
298,35240486,50,75,20,20,10,20,0
300,35240487,30,20,10,10,0,10,0
302,35240488,110,140,25,25,0,35,10
304,35240489,65,65,0,0,0,20,0
306,35240490,35,30,0,0,0,10,0
308,35240491,60,65,0,0,0,10,0
310,35240492,90,85,10,10,0,0,0
312,35240493,165,90,0,0,0,0,0
314,35240494,95,40,10,10,0,10,0
316,35240495,85,80,0,0,0,0,0
318,35240496,70,75,0,0,0,15,0
320,35240497,85,50,10,10,0,10,10
322,35240498,50,40,10,10,0,20,0
324,35240499,50,35,0,0,0,10,0
326,35240501,35,40,0,0,0,10,0
328,35240503,70,45,10,10,0,0,0
330,35240504,55,45,0,0,0,10,0
332,35240505,60,55,15,15,0,15,0
334,35240506,65,50,0,0,0,0,0
336,35240507,60,75,10,10,0,0,0
338,35240508,55,60,10,10,0,15,0
340,35240509,90,90,0,0,0,0,0
342,35240512,45,25,0,0,0,10,0
344,35240513,60,50,25,25,0,10,0
346,35240516,65,50,20,20,10,0,10
348,35240517,65,65,10,10,0,0,0
