,geo_code,household_income
544,35250364,0
545,35250365,29995
546,35250366,25216
547,35250367,32192
548,35250368,33216
549,35250369,32448
550,35250370,31680
551,35250371,35520
552,35250372,39040
553,35250373,35456
554,35250374,37419
555,35250375,38528
556,35250376,36224
557,35250377,32640
558,35250378,36608
559,35250379,34816
560,35250380,47616
561,35250381,39552
562,35250382,36864
563,35250383,22221
564,35250384,18496
565,35250385,36992
566,35250387,69632
567,35250388,54144
568,35250389,43904
569,35250390,42464
570,35250391,38784
571,35250392,47104
572,35250393,28448
573,35250394,26261
574,35250395,25664
575,35250396,28544
576,35250397,26603
577,35250398,10739
578,35250399,12629
579,35250400,26005
580,35250401,24960
581,35250402,36864
582,35250403,32597
583,35250404,40512
584,35250405,33408
585,35250406,24352
586,35250407,29728
587,35250408,25259
588,35250409,24064
589,35250410,37504
590,35250411,32256
591,35250412,18112
592,35250413,29739
593,35250416,25536
594,35250417,21376
595,35250418,22112
596,35250419,20587
597,35250420,38699
598,35250421,31275
599,35250422,17750
600,35250423,23872
601,35250424,27168
602,35250425,33088
603,35250426,36224
604,35250427,34944
605,35250428,20693
606,35250429,24171
607,35250430,26560
608,35250431,25888
609,35250434,22208
610,35250435,18176
611,35250436,19840
612,35250437,19925
613,35250438,19264
614,35250439,21589
615,35250440,28864
616,35250441,29440
617,35250442,30976
618,35250443,33984
619,35250444,28544
620,35250445,31104
621,35250446,29888
622,35250447,22240
623,35250448,20704
624,35250449,23275
625,35250450,25920
626,35250451,0
627,35250452,26432
628,35250453,24176
629,35250454,21216
630,35250455,23445
631,35250456,18645
632,35250457,0
633,35250458,18496
634,35250459,19488
635,35250460,21888
636,35250461,21248
637,35250462,23232
638,35250463,22613
639,35250464,22293
640,35250465,19776
641,35250466,23360
642,35250467,17387
643,35250468,29120
644,35250471,23488
645,35250472,22709
646,35250473,22443
647,35250474,17984
648,35250475,21483
649,35250476,22464
650,35250477,21056
651,35250478,23232
652,35250479,25184
653,35250480,22688
654,35250481,22720
655,35250482,24448
656,35250483,23840
657,35250484,22720
658,35250485,27968
