index,geo_code,gender,0_4_years,10_14_years,15_19_years,20_24_years,25_29_years,30_34_years,35_39_years,40_44_years,45_49_years,50_54_years,55_59_years,60_64_years,65_69_years,70_74_years,75_79_years,80_84_years,85_89_years,90_94_years,95_99_years,100_years
101,35240370,male,15,15,10,20,15,15,15,20,20,25,20,20,15,10,10,5,5,0,0,0
102,35240371,female,10,10,10,10,10,10,15,15,20,10,15,10,15,10,15,0,5,0,0,0
103,35240371,male,10,15,5,10,10,10,15,15,15,10,15,5,15,5,5,5,0,5,0,0
104,35240372,female,5,15,15,15,15,10,15,20,15,20,20,20,15,5,5,5,5,5,0,0
105,35240372,male,5,15,15,5,15,10,10,20,15,25,20,20,10,10,5,5,0,0,0,0
106,35240373,female,5,10,15,15,10,10,10,10,15,20,20,15,10,5,5,5,5,5,0,0
107,35240373,male,5,20,10,15,15,10,10,10,15,20,15,15,5,5,10,5,0,0,0,0
108,35240374,female,5,20,10,15,10,0,15,10,20,20,20,25,20,5,5,5,0,0,0,0
109,35240374,male,10,10,10,15,15,10,15,15,15,20,15,20,20,10,0,5,0,0,0,0
110,35240375,female,20,25,10,10,15,25,30,25,30,20,25,15,15,5,5,5,0,0,0,0
111,35240375,male,20,20,30,20,15,30,25,20,25,20,20,10,15,10,5,0,0,0,0,0
112,35240376,female,20,5,10,15,10,15,25,15,20,15,20,10,10,5,5,5,0,0,0,0
113,35240376,male,20,15,10,15,5,25,25,10,15,10,20,20,10,5,5,0,0,0,0,0
114,35240377,female,15,10,10,10,10,15,15,15,15,20,25,15,10,5,0,0,5,0,0,0
115,35240377,male,10,10,15,20,5,10,10,10,15,10,15,10,10,5,0,5,5,0,0,0
116,35240378,female,15,25,30,20,15,15,20,30,20,35,20,25,10,15,0,0,0,0,0,0
117,35240378,male,20,25,25,30,10,10,10,15,30,25,25,15,10,10,5,0,0,0,0,0
118,35240379,female,10,5,10,10,10,5,10,15,10,10,10,10,5,5,5,0,0,0,0,0
119,35240379,male,5,5,10,10,10,15,5,5,15,10,10,5,10,0,0,0,0,0,0,0
120,35240380,female,15,15,15,15,10,15,15,10,15,15,20,15,15,5,5,5,5,5,0,0
121,35240380,male,10,10,10,15,10,15,20,10,10,20,10,15,10,10,5,5,0,0,0,0
122,35240381,female,30,45,40,35,20,20,40,40,50,55,65,40,70,50,35,20,5,5,0,0
123,35240381,male,25,40,40,50,25,15,30,40,45,60,45,45,45,40,40,20,5,0,0,0
