,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
351,35240518,215,70,200,15
353,35240519,120,40,115,10
355,35240520,205,95,195,10
357,35240521,170,85,145,15
359,35240522,110,70,100,15
361,35240523,120,65,110,10
363,35240524,110,120,105,0
365,35240525,160,70,155,0
367,35240526,85,30,75,10
369,35240528,145,35,145,0
371,35240529,155,40,125,25
373,35240530,175,30,165,10
375,35240531,135,50,130,0
377,35240532,365,105,345,30
379,35240533,135,30,135,0
381,35240534,190,35,160,20
383,35240535,160,80,155,0
385,35240536,235,85,220,10
387,35240537,170,55,170,0
389,35240538,315,95,290,30
391,35240539,305,60,280,25
393,35240540,120,50,110,10
395,35240541,125,35,125,0
397,35240542,110,80,100,0
399,35240543,195,65,180,10
401,35240544,115,65,105,0
403,35240545,280,75,265,15
405,35240546,235,60,210,25
407,35240590,290,115,255,30
409,35240591,330,135,290,40
411,35240592,600,180,570,20
413,35240593,385,175,375,10
415,35240594,275,95,260,15
417,35240595,240,165,225,15
419,35240596,250,295,245,0
421,35240598,530,350,500,30
423,35240641,175,35,160,10
425,35240642,155,80,145,10
427,35240643,215,50,210,10
429,35240644,160,80,150,15
431,35240645,120,65,115,10
433,35240647,180,85,165,15
435,35240648,200,70,185,0
437,35240649,210,30,200,10
439,35240650,265,80,250,15
441,35240651,150,30,145,0
443,35240654,195,50,185,0
445,35240655,300,260,255,40
447,35240656,115,30,110,10
449,35240659,215,50,200,15
451,35240660,170,50,145,25
453,35240661,195,50,180,15
455,35240662,455,295,445,10
457,35240663,170,40,155,15
459,35240664,170,80,140,25
461,35240665,140,50,135,10
463,35240666,235,85,230,0
465,35240667,205,30,180,25
467,35240668,165,25,165,0
469,35240669,355,35,345,10
471,35240670,205,55,190,10
473,35240671,185,45,170,10
475,35240672,250,75,245,10
477,35240673,115,15,110,0
479,35240674,245,25,220,20
481,35240675,370,75,340,25
483,35240676,295,45,275,15
485,35240677,170,30,155,15
487,35240678,395,160,390,10
489,35240679,220,50,210,0
491,35240680,395,55,390,10
493,35240681,135,85,135,10
495,35240682,200,30,200,0
497,35240683,225,45,205,15
499,35240684,190,40,175,15
501,35240685,340,65,320,20
503,35240686,360,45,335,25
505,35240756,215,35,205,15
507,35240757,155,35,155,0
509,35240758,310,100,290,20
511,35240759,185,90,175,10
513,35240780,280,75,265,15
515,35240782,245,75,235,10
517,35240783,100,45,90,10
519,35240785,275,65,270,10
521,35240807,225,130,220,0
523,35240808,160,190,145,15
525,35240809,25,10,20,0
527,35240898,940,195,905,35
529,35240903,0,0,0,0
531,35240904,445,140,410,25
533,35250030,110,65,110,0
535,35250031,115,45,115,0
537,35250032,200,85,175,25
539,35250033,170,60,170,10
541,35250034,215,70,210,0
543,35250035,130,60,125,0
545,35250036,155,60,145,0
547,35250037,170,70,170,10
549,35250038,160,105,150,10
551,35250039,75,50,70,10
553,35250040,70,90,70,10
555,35250041,120,70,115,10
557,35250042,70,30,60,0
559,35250043,185,80,160,25
561,35250044,90,65,85,10
563,35250045,135,55,125,10
565,35250046,175,40,160,10
567,35250047,165,80,155,10
569,35250048,75,40,70,0
571,35250049,105,35,95,10
573,35250050,100,55,95,10
575,35250051,355,220,335,20
577,35250052,75,55,75,0
579,35250053,190,110,180,15
581,35250054,90,45,90,0
583,35250055,180,75,180,10
585,35250056,75,30,65,10
587,35250059,350,115,330,20
589,35250060,165,95,155,15
591,35250061,105,60,105,0
593,35250062,170,75,160,10
595,35250064,200,130,195,10
597,35250065,170,65,155,10
599,35250066,90,70,90,0
601,35250067,175,65,170,10
603,35250070,145,70,125,20
605,35250073,120,50,110,15
607,35250074,60,55,65,0
609,35250075,140,65,135,0
611,35250077,145,70,130,15
613,35250078,115,60,95,15
615,35250079,75,55,65,10
617,35250080,160,90,130,30
619,35250081,275,130,240,30
621,35250082,55,45,50,0
623,35250083,180,90,115,60
625,35250084,85,40,80,10
627,35250085,95,25,85,0
629,35250086,85,55,90,0
631,35250087,110,85,100,10
633,35250088,90,75,75,15
635,35250089,115,70,105,10
637,35250093,160,55,140,15
639,35250094,90,40,75,15
641,35250095,155,75,130,30
643,35250096,155,70,135,20
645,35250097,80,45,60,20
647,35250098,60,65,55,10
649,35250099,235,125,230,10
651,35250100,125,55,105,15
653,35250101,130,60,130,0
655,35250102,95,50,95,0
657,35250105,170,90,170,0
659,35250106,115,55,110,0
661,35250107,135,70,130,10
663,35250108,135,85,130,0
665,35250109,140,155,140,0
667,35250110,145,85,140,10
669,35250111,90,70,80,10
671,35250112,85,60,70,15
673,35250113,120,60,105,15
675,35250114,85,65,80,10
677,35250115,365,115,330,40
679,35250116,200,90,190,10
681,35250117,60,35,60,10
683,35250118,85,60,80,0
685,35250119,125,55,110,10
687,35250120,135,35,115,25
689,35250121,90,50,80,15
691,35250122,90,50,75,10
693,35250123,120,50,115,0
695,35250124,115,65,90,20
697,35250125,85,40,75,0
699,35250126,175,55,160,20
701,35250127,490,155,435,60
703,35250128,155,55,145,10
705,35250129,95,40,90,0
707,35250130,110,45,110,0
709,35250133,15,80,10,0
711,35250134,160,120,155,0
713,35250135,505,155,470,40
715,35250136,95,55,85,10
717,35250137,100,50,85,15
719,35250144,480,120,440,40
721,35250145,120,25,120,10
723,35250146,250,135,250,0
725,35250147,95,85,80,10
727,35250148,155,60,155,0
729,35250149,155,80,150,10
731,35250150,145,70,135,10
733,35250151,125,50,115,10
735,35250152,350,170,345,10
737,35250153,170,95,170,0
739,35250156,100,30,100,0
741,35250158,150,60,145,0
743,35250159,105,70,105,0
745,35250160,95,60,80,15
747,35250161,220,80,205,15
749,35250162,140,25,145,0
751,35250163,160,45,155,10
753,35250164,125,70,115,0
755,35250172,110,65,110,0
757,35250173,345,95,310,25
759,35250175,440,85,425,15
761,35250176,240,90,225,15
763,35250177,195,55,180,15
765,35250178,175,60,170,10
767,35250179,280,25,265,15
769,35250180,430,140,415,10
771,35250181,125,45,120,10
773,35250183,80,15,80,0
775,35250184,110,35,105,10
777,35250185,95,55,85,10
779,35250186,75,60,70,0
781,35250188,250,50,235,10
783,35250189,240,45,235,0
785,35250190,120,35,115,10
787,35250191,200,70,185,15
789,35250192,455,155,425,25
791,35250193,70,65,65,0
793,35250194,130,65,125,10
795,35250196,130,50,110,15
797,35250197,135,60,130,10
799,35250199,790,240,710,80
801,35250200,190,80,170,20
803,35250201,45,60,35,10
805,35250202,340,75,290,50
807,35250203,285,160,250,35
809,35250204,245,90,225,20
811,35250205,75,35,65,10
813,35250206,175,95,155,25
815,35250207,90,50,80,10
817,35250208,120,60,105,10
819,35250209,95,55,90,10
821,35250210,125,70,125,0
823,35250211,40,95,40,10
825,35250212,115,95,105,10
827,35250213,105,95,85,20
829,35250216,90,60,90,0
831,35250217,160,40,145,15
833,35250218,140,65,135,0
835,35250221,165,70,165,0
837,35250222,110,60,105,0
839,35250223,145,75,125,25
841,35250224,85,50,85,10
843,35250225,100,70,95,0
845,35250226,95,130,90,10
847,35250227,155,90,135,15
849,35250230,160,85,160,0
851,35250231,140,145,135,10
853,35250232,155,105,110,35
855,35250233,130,75,125,10
857,35250234,110,60,105,10
859,35250238,220,115,190,25
861,35250239,110,60,90,20
863,35250240,140,145,120,20
865,35250241,85,45,85,0
867,35250242,0,0,0,0
869,35250243,215,215,175,40
871,35250248,240,105,225,15
873,35250249,95,110,80,10
875,35250250,115,85,110,10
