,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
1895,35250810,225,135,210,20
1897,35250812,125,75,110,10
1899,35250813,180,45,160,20
1901,35250814,155,70,150,10
1903,35250815,405,210,385,20
1905,35250826,225,110,210,15
1907,35250827,120,35,120,0
1909,35250828,85,35,80,0
1911,35250829,140,105,135,0
1913,35250830,120,70,110,0
1915,35250831,160,225,135,20
1917,35250832,55,40,60,0
1919,35250833,105,40,95,15
1921,35250834,120,45,110,10
1923,35250835,100,50,95,0
1925,35250836,135,40,130,10
1927,35250843,270,125,240,30
1929,35250845,450,360,370,80
1931,35250846,120,235,110,10
1933,35250847,180,115,155,20
1935,35250848,240,135,215,25
1937,35250849,380,135,320,60
1939,35250850,320,130,295,20
1941,35250851,560,405,505,55
1943,35250852,495,255,460,35
1945,35250853,280,205,245,40
1947,35250854,265,220,225,35
1949,35250855,355,135,295,55
1951,35250857,200,60,185,15
1953,35250859,155,120,150,0
1955,35250860,565,205,505,55
1957,35250861,165,40,150,15
1959,35250862,175,50,175,0
1961,35250863,130,35,135,0
1963,35250864,195,60,190,0
1965,35250865,145,60,140,10
1967,35250866,180,95,175,0
1969,35250867,185,60,180,10
1971,35250868,115,45,110,10
1973,35250869,145,55,140,0
1975,35250870,255,55,240,10
1977,35250871,155,80,155,10
1979,35250872,235,85,230,10
1981,35250873,235,70,225,0
1983,35250874,225,65,215,10
1985,35250875,255,60,235,20
1987,35250876,155,45,150,10
1989,35250877,155,45,145,0
1991,35250878,140,70,135,10
1993,35250879,200,85,190,0
1995,35250880,130,45,115,20
1997,35250881,150,60,145,15
1999,35250882,260,75,255,0
2001,35250883,165,25,155,10
2003,35250884,205,45,195,15
2005,35250885,165,30,150,10
2007,35250886,210,35,210,0
2009,35250887,195,35,185,10
2011,35250888,180,35,180,0
2013,35250889,175,30,170,0
2015,35250890,135,35,135,10
2017,35250891,150,35,140,10
2019,35250892,810,135,780,35
2021,35250893,185,25,185,0
2023,35250894,150,50,150,0
2025,35250895,170,70,170,10
2027,35250896,125,70,125,0
2029,35250897,170,35,170,0
2031,35250898,160,35,160,0
2033,35250899,145,45,135,10
2035,35250900,130,20,125,0
2037,35250901,165,70,160,10
2039,35250902,180,30,175,0
2041,35250903,215,85,205,15
2043,35250904,205,50,200,10
2045,35250905,200,50,190,10
2047,35250906,170,20,175,0
2049,35250907,130,30,130,0
2051,35250908,165,70,165,10
2053,35250909,540,145,505,35
2055,35250910,445,110,410,35
2057,35250911,230,25,210,15
2059,35250912,210,65,200,15
2061,35250913,180,80,175,10
2063,35250914,120,85,115,10
2065,35250918,135,650,115,20
2067,35250919,185,85,180,0
2069,35250920,375,140,345,30
2071,35250921,225,135,225,0
2073,35250922,230,105,220,10
2075,35250923,200,35,175,25
2077,35250924,140,60,145,0
2079,35250925,160,75,150,0
2081,35250928,170,50,165,0
2083,35250929,220,55,205,10
2085,35250930,200,60,185,10
2087,35250931,210,75,215,0
2089,35250932,125,85,115,10
2091,35250933,150,50,145,0
2093,35250934,150,55,145,0
2095,35250935,185,265,170,15
2097,35250936,160,45,150,0
2099,35250937,295,175,285,0
2101,35250938,215,75,200,15
2103,35250939,160,85,155,10
2105,35250940,125,70,125,0
2107,35250941,255,95,240,10
2109,35250942,160,55,165,0
2111,35250943,295,85,280,15
2113,35250944,175,55,160,20
2115,35250945,235,30,230,0
2117,35250946,145,85,130,10
2119,35250947,185,70,180,10
2121,35250948,415,100,410,10
2123,35250949,155,70,145,10
2125,35250950,160,45,155,10
2127,35250951,175,40,160,10
2129,35250952,700,80,675,25
2131,35250953,100,70,95,10
2133,35250954,125,85,110,20
2135,35250955,40,50,40,0
2137,35250956,60,260,60,0
2139,35250957,135,65,115,20
2141,35250958,130,95,105,20
2143,35250959,125,75,115,10
2145,35250960,85,90,60,25
2147,35250961,120,65,105,10
2149,35250962,195,70,165,30
2151,35250963,620,445,540,80
2153,35250964,190,65,170,15
2155,35250965,95,50,85,0
2157,35250966,0,0,0,0
2159,35250967,95,75,100,0
2161,35250968,135,100,115,15
2163,35250969,185,80,150,35
2165,35250970,120,50,110,10
2167,35250971,185,50,165,20
2169,35250972,110,75,110,0
2171,35250973,110,80,100,10
2173,35250974,120,55,120,0
2175,35250975,140,60,125,10
2177,35250976,105,60,95,10
2179,35250978,650,180,635,15
2181,35250980,135,35,120,10
2183,35250981,665,235,615,55
2185,35250982,0,95,0,0
2187,35250983,115,70,105,10
2189,35250985,375,115,365,0
2191,35250986,400,210,380,20
2193,35250987,220,100,205,20
2195,35250988,240,140,225,20
2197,35250989,295,125,270,25
2199,35250990,125,80,115,10
2201,35250991,160,105,160,10
2203,35250992,145,70,145,0
2205,35250993,45,30,45,0
2207,35250994,285,100,270,10
2209,35250995,365,330,335,35
2211,35250996,350,110,350,0
2213,35250997,165,285,160,10
2215,35250998,150,95,145,15
2217,35250999,330,105,310,20
2219,35251000,120,35,115,10
2221,35251001,165,65,160,0
2223,35251002,205,60,195,0
2225,35251003,90,45,90,0
2227,35251004,155,25,155,0
2229,35251005,300,85,290,15
2231,35251006,235,140,220,15
2233,35251007,275,85,260,15
2235,35251008,125,35,125,0
2237,35251009,290,55,265,25
2239,35251010,170,65,170,0
2241,35251011,170,80,165,10
2243,35251012,185,55,175,0
2245,35251013,310,75,295,10
2247,35251014,85,25,85,0
2249,35251015,210,70,200,15
2251,35251016,165,60,160,0
2253,35251017,155,35,155,0
2255,35251018,195,90,170,25
2257,35251019,115,25,110,0
2259,35251020,305,60,295,0
2261,35251021,245,35,220,25
2263,35251022,530,180,510,25
2265,35251023,295,65,280,15
2267,35251024,320,90,315,10
2269,35251025,95,100,75,25
2271,35251026,130,80,125,10
2273,35260307,245,80,220,20
2275,35260309,395,165,395,0
2277,35260310,135,35,130,0
2279,35260311,205,165,200,0
2281,35260313,140,55,140,0
2283,35260314,125,105,125,10
2285,35260315,125,70,120,0
2287,35260316,175,55,165,15
2289,35260317,90,45,85,10
2291,35260318,140,80,130,10
2293,35260319,110,80,100,15
2295,35260320,130,50,115,20
2297,35260321,160,90,140,15
2299,35260322,95,80,90,0
2301,35260323,145,85,130,10
2303,35260324,165,105,150,15
2305,35260325,65,75,65,0
2307,35260326,160,90,145,15
2309,35260327,110,45,105,0
2311,35260328,85,45,80,10
2313,35260330,130,65,130,10
2315,35260332,150,40,145,10
2317,35260333,195,75,175,25
2319,35260334,110,65,110,0
2321,35260335,490,190,455,35
2323,35260336,455,130,445,10
2325,35260337,80,45,75,0
2327,35260338,580,140,550,35
2329,35260339,175,45,175,0
2331,35260340,345,65,330,15
2333,35260341,150,80,145,0
2335,35260342,165,50,160,10
2337,35260734,400,125,400,0
2339,35260828,125,95,125,0
2341,35260829,165,45,150,15
2343,35260830,260,105,255,10
2345,35260831,145,35,135,10
2347,35260832,220,80,215,10
2349,35260833,195,85,175,15
