,geo_code,1 child,2 children,3 or more children
521,35250341,30,5,0
522,35250342,25,15,10
523,35250343,15,10,0
524,35250344,15,5,0
525,35250345,10,5,0
526,35250346,25,5,0
527,35250347,15,10,0
528,35250348,15,5,0
529,35250349,15,10,0
530,35250350,35,5,5
531,35250351,20,5,0
532,35250352,30,15,5
533,35250353,40,10,0
534,35250354,15,5,0
535,35250355,20,10,5
536,35250356,10,10,5
537,35250357,15,5,5
538,35250358,10,5,0
539,35250359,20,5,0
540,35250360,15,5,0
541,35250361,20,10,0
542,35250362,25,10,0
543,35250363,20,5,5
544,35250364,20,5,0
545,35250365,50,15,0
546,35250366,45,15,5
547,35250367,25,10,5
548,35250368,20,10,5
549,35250369,15,10,0
550,35250370,25,5,5
551,35250371,20,10,5
552,35250372,20,5,5
553,35250373,20,5,5
554,35250374,25,5,0
555,35250375,25,10,0
556,35250376,25,15,5
557,35250377,20,10,5
558,35250378,25,10,5
559,35250379,15,5,5
560,35250380,10,5,0
561,35250381,20,5,5
562,35250382,15,5,0
563,35250383,30,15,0
564,35250384,20,5,5
565,35250385,15,5,5
566,35250387,5,5,0
567,35250388,10,5,0
568,35250389,10,0,0
569,35250390,10,0,5
570,35250391,15,0,0
571,35250392,5,5,5
572,35250393,20,5,0
573,35250394,30,0,5
574,35250395,25,5,0
575,35250396,15,0,0
576,35250397,10,0,0
577,35250398,0,0,0
578,35250399,5,0,0
579,35250400,30,10,5
580,35250401,20,10,0
581,35250402,10,5,0
582,35250403,20,5,0
583,35250404,15,10,0
584,35250405,20,5,0
585,35250406,15,5,5
586,35250407,20,10,5
587,35250408,15,5,0
588,35250409,15,5,0
589,35250410,25,10,0
590,35250411,20,5,0
591,35250412,15,5,0
592,35250413,25,10,0
593,35250416,20,10,0
594,35250417,25,5,0
595,35250418,25,5,0
596,35250419,20,10,5
597,35250420,20,5,5
598,35250421,25,5,0
599,35250422,10,5,0
600,35250423,25,5,0
601,35250424,15,0,0
602,35250425,30,5,0
603,35250426,15,0,0
604,35250427,5,0,0
605,35250428,30,5,10
606,35250429,15,5,5
607,35250430,15,0,0
608,35250431,20,5,0
609,35250434,50,15,10
610,35250435,25,10,5
611,35250436,25,5,0
612,35250437,25,5,5
613,35250438,15,5,5
614,35250439,50,15,5
615,35250440,20,0,0
616,35250441,20,0,5
617,35250442,25,10,0
618,35250443,10,10,0
619,35250444,25,10,5
620,35250445,20,5,0
621,35250446,25,10,5
622,35250447,15,15,0
623,35250448,35,10,10
624,35250449,25,5,0
625,35250450,25,5,5
626,35250451,10,0,0
627,35250452,20,5,0
628,35250453,25,5,10
629,35250454,30,10,0
630,35250455,20,0,0
631,35250456,15,15,0
632,35250457,x,x,x
633,35250458,30,10,5
634,35250459,30,20,10
635,35250460,25,5,5
636,35250461,25,10,5
637,35250462,10,10,5
638,35250463,15,5,5
639,35250464,15,5,5
640,35250465,20,10,5
641,35250466,20,10,5
642,35250467,20,10,5
643,35250468,5,0,0
644,35250471,20,5,5
645,35250472,15,5,0
646,35250473,10,10,5
647,35250474,35,20,5
648,35250475,20,10,0
649,35250476,25,10,5
650,35250477,25,10,0
651,35250478,20,5,5
652,35250479,30,15,5
653,35250480,35,10,5
654,35250481,15,10,5
655,35250482,25,15,10
656,35250483,20,10,5
657,35250484,15,5,5
658,35250485,20,10,5
659,35250486,30,10,5
660,35250487,20,5,0
661,35250488,10,10,10
662,35250489,15,5,0
663,35250490,20,10,5
664,35250491,10,20,25
665,35250492,15,10,5
666,35250493,20,5,0
667,35250494,20,5,0
668,35250495,15,15,15
669,35250496,5,0,0
670,35250497,25,10,0
671,35250498,15,10,5
672,35250499,25,10,5
673,35250501,10,10,5
674,35250502,15,10,5
675,35250503,15,5,0
676,35250504,20,10,5
677,35250506,15,10,5
678,35250507,20,5,5
679,35250508,5,5,0
680,35250509,15,5,0
681,35250510,5,10,0
682,35250511,25,10,5
683,35250512,10,10,5
684,35250513,25,5,0
685,35250514,20,15,5
686,35250515,10,0,0
687,35250516,20,10,5
688,35250517,10,5,0
689,35250518,5,0,5
690,35250519,20,5,0
691,35250520,30,5,5
692,35250521,10,5,5
693,35250522,5,5,0
694,35250523,10,5,0
695,35250524,25,15,5
696,35250525,10,5,0
697,35250526,80,45,30
698,35250527,20,10,0
699,35250528,15,5,0
700,35250529,20,15,5
701,35250530,25,15,5
702,35250531,20,5,5
703,35250532,15,5,5
704,35250533,50,10,0
705,35250534,20,10,0
706,35250535,20,20,20
707,35250536,25,5,5
708,35250537,30,15,0
709,35250538,35,10,5
710,35250539,30,10,5
711,35250540,20,0,0
712,35250541,20,15,0
713,35250542,20,5,0
714,35250545,15,5,0
715,35250546,35,10,5
716,35250547,15,5,5
717,35250548,25,15,5
718,35250549,30,15,5
719,35250550,20,10,0
720,35250551,20,5,5
721,35250552,25,25,10
722,35250553,20,10,10
723,35250554,25,15,5
724,35250555,20,15,5
725,35250556,25,5,0
726,35250557,40,35,10
727,35250558,30,10,0
728,35250559,20,10,0
729,35250560,15,0,0
730,35250561,15,5,0
731,35250562,20,5,0
732,35250563,35,10,0
733,35250564,20,5,0
734,35250565,35,5,0
735,35250566,15,5,0
736,35250567,30,10,0
737,35250568,40,10,0
738,35250569,10,5,0
739,35250570,25,5,0
740,35250571,10,5,5
741,35250572,20,5,5
742,35250573,30,10,5
743,35250574,5,5,0
744,35250578,25,35,20
745,35250579,15,5,0
746,35250580,20,30,15
747,35250581,25,20,5
748,35250582,20,10,5
749,35250583,10,15,5
750,35250585,20,15,5
751,35250586,35,15,5
752,35250587,5,5,0
753,35250588,10,10,0
754,35250589,15,10,0
755,35250590,10,5,0
756,35250591,10,5,0
757,35250592,15,10,0
758,35250593,15,10,5
759,35250594,20,15,5
760,35250595,15,5,5
761,35250596,30,0,5
762,35250597,10,5,10
763,35250598,10,10,5
764,35250599,25,0,0
765,35250600,10,10,0
766,35250601,20,5,5
767,35250602,15,5,5
768,35250603,20,5,5
769,35250604,20,5,0
770,35250605,25,15,10
771,35250606,20,10,0
772,35250607,15,5,5
773,35250608,25,30,15
774,35250609,30,10,5
775,35250610,20,10,0
776,35250611,20,10,5
777,35250612,35,30,10
778,35250613,45,35,15
779,35250614,15,5,5
780,35250615,20,5,5
781,35250616,15,10,10
782,35250617,15,15,10
783,35250618,5,0,0
