,geo_code,English Only (F),French Only (F),Neither English nor French (F)
2216,35250999,385,10,0
2218,35251000,110,0,5
2220,35251001,160,0,10
2222,35251002,140,0,5
2224,35251003,170,5,0
2226,35251004,185,0,5
2228,35251005,435,10,0
2230,35251006,380,5,0
2232,35251007,360,5,0
2234,35251008,190,0,0
2236,35251009,335,0,5
2238,35251010,280,5,0
2240,35251011,235,0,0
2242,35251012,165,5,10
2244,35251013,290,5,5
2246,35251014,120,0,10
2248,35251015,220,0,5
2250,35251016,185,0,0
2252,35251017,195,5,5
2254,35251018,305,5,10
2256,35251019,140,5,0
2258,35251020,355,10,5
2260,35251021,265,5,5
2262,35251022,645,10,15
2264,35251023,330,5,15
2266,35251024,415,5,5
2268,35251025,315,5,15
2270,35251026,195,5,10
2272,35260307,345,5,0
2274,35260309,630,10,0
2276,35260310,185,0,0
2278,35260311,410,5,0
2280,35260313,250,5,0
2282,35260314,240,5,0
2284,35260315,200,0,5
2286,35260316,235,0,0
2288,35260317,195,0,0
2290,35260318,205,0,0
2292,35260319,160,0,0
2294,35260320,205,0,0
2296,35260321,250,10,0
2298,35260322,210,0,0
2300,35260323,235,5,0
2302,35260324,320,5,0
2304,35260325,200,5,0
2306,35260326,285,5,0
2308,35260327,160,5,0
2310,35260328,145,0,0
2312,35260330,240,5,0
2314,35260332,165,5,0
2316,35260333,240,10,0
2318,35260334,195,0,0
2320,35260335,760,10,0
2322,35260336,655,10,5
2324,35260337,135,0,0
2326,35260338,705,5,0
2328,35260339,255,0,0
2330,35260340,450,0,5
2332,35260341,220,5,5
2334,35260342,210,5,0
2336,35260734,620,10,5
2338,35260828,195,0,0
2340,35260829,225,5,0
2342,35260830,410,5,5
2344,35260831,200,0,0
2346,35260832,380,5,5
2348,35260833,345,0,0
