,geo_code,English Only (F),French Only (F),Neither English nor French (F)
206,35240436,115,5,0
208,35240437,280,5,0
210,35240438,265,5,0
212,35240439,215,5,0
214,35240440,185,10,0
216,35240441,305,5,5
218,35240442,210,0,0
220,35240443,290,5,0
222,35240444,195,5,5
224,35240445,225,5,5
226,35240446,270,5,5
228,35240447,260,0,5
230,35240448,240,10,0
232,35240449,125,5,0
234,35240450,255,10,5
236,35240451,200,5,5
238,35240452,145,0,5
240,35240453,225,5,0
242,35240455,350,15,0
244,35240459,180,5,0
246,35240460,185,5,0
248,35240461,195,5,0
250,35240462,190,10,0
252,35240463,250,5,5
254,35240464,170,0,0
256,35240465,390,15,0
258,35240466,305,0,0
260,35240467,255,5,5
262,35240468,225,0,0
264,35240469,210,5,0
266,35240470,265,0,0
268,35240471,230,0,5
270,35240472,290,10,0
272,35240473,225,5,0
274,35240474,280,5,5
276,35240475,280,10,5
278,35240476,255,5,0
280,35240477,305,10,0
282,35240478,140,0,0
284,35240479,170,5,15
286,35240480,375,10,5
288,35240481,215,5,0
290,35240482,330,10,5
292,35240483,225,0,0
294,35240484,455,10,5
296,35240485,160,0,0
298,35240486,275,0,0
300,35240487,120,0,0
302,35240488,420,5,5
304,35240489,195,5,5
306,35240490,110,5,0
308,35240491,245,5,0
310,35240492,235,5,0
312,35240493,355,10,0
314,35240494,200,5,0
316,35240495,245,5,20
318,35240496,205,0,5
320,35240497,185,5,5
322,35240498,160,5,0
324,35240499,135,5,0
326,35240501,115,5,0
328,35240503,180,5,0
330,35240504,195,0,5
332,35240505,250,5,5
334,35240506,180,5,0
336,35240507,210,5,0
338,35240508,300,5,0
340,35240509,435,10,0
342,35240512,125,5,5
344,35240513,200,5,0
346,35240516,255,5,0
348,35240517,230,0,0
350,35240518,260,5,5
352,35240519,160,0,0
354,35240520,295,10,0
356,35240521,270,5,0
358,35240522,190,5,0
360,35240523,200,5,5
362,35240524,190,0,5
364,35240525,275,5,0
366,35240526,130,5,0
368,35240528,190,0,0
370,35240529,190,0,5
372,35240530,160,0,5
374,35240531,180,0,5
376,35240532,465,5,5
378,35240533,150,0,0
380,35240534,180,5,5
382,35240535,180,5,0
384,35240536,290,10,5
386,35240537,240,5,0
388,35240538,390,15,10
390,35240539,335,5,0
392,35240540,160,5,5
394,35240541,160,5,0
396,35240542,220,0,0
398,35240543,190,15,5
400,35240544,235,0,0
402,35240545,435,5,5
404,35240546,280,0,5
406,35240590,515,10,0
408,35240591,435,20,5
410,35240592,665,20,25
412,35240593,545,10,5
414,35240594,345,15,5
416,35240595,425,15,5
418,35240596,565,30,5
420,35240598,935,30,15
422,35240641,215,0,5
424,35240642,205,5,0
426,35240643,260,5,0
428,35240644,230,5,0
430,35240645,210,5,0
432,35240647,295,10,0
434,35240648,320,5,5
436,35240649,245,5,0
438,35240650,320,10,5
440,35240651,200,10,5
442,35240654,255,5,0
444,35240655,540,15,5
446,35240656,175,5,0
448,35240659,365,15,0
450,35240660,220,5,0
452,35240661,215,0,0
454,35240662,865,25,5
456,35240663,210,10,5
458,35240664,255,10,0
460,35240665,195,5,0
462,35240666,395,15,0
464,35240667,310,5,5
466,35240668,160,5,0
468,35240669,395,5,10
470,35240670,235,5,10
472,35240671,205,5,5
474,35240672,325,5,10
476,35240673,140,5,5
478,35240674,295,5,10
480,35240675,400,10,10
482,35240676,335,10,15
484,35240677,165,0,5
486,35240678,530,20,10
488,35240679,235,5,0
490,35240680,365,10,10
492,35240681,230,5,5
494,35240682,265,5,10
496,35240683,240,15,10
498,35240684,245,10,5
500,35240685,485,10,10
502,35240686,490,5,10
504,35240756,245,5,5
506,35240757,245,0,10
508,35240758,390,10,5
510,35240759,235,10,0
512,35240780,440,5,10
514,35240782,275,10,10
516,35240783,145,5,0
518,35240785,355,5,5
520,35240807,395,15,0
522,35240808,390,15,5
524,35240809,25,0,0
526,35240898,1010,25,20
528,35240903,0,0,0
530,35240904,585,15,5
532,35250030,155,5,0
534,35250031,205,0,0
536,35250032,255,5,0
538,35250033,270,5,0
540,35250034,330,0,0
542,35250035,175,5,0
544,35250036,270,0,0
546,35250037,255,0,0
548,35250038,295,5,0
550,35250039,275,0,0
552,35250040,215,0,0
554,35250041,190,0,0
556,35250042,105,0,0
558,35250043,275,0,0
560,35250044,165,5,0
562,35250045,155,5,5
564,35250046,225,5,0
566,35250047,275,0,0
568,35250048,125,0,0
570,35250049,180,0,0
572,35250050,195,5,0
574,35250051,540,15,0
576,35250052,150,5,0
578,35250053,245,5,0
580,35250054,160,0,0
582,35250055,310,5,0
584,35250056,80,0,0
586,35250059,450,5,0
588,35250060,270,5,0
590,35250061,160,5,0
592,35250062,230,0,5
594,35250064,330,0,0
596,35250065,210,5,5
