,geo_code,median total income of couple economic families with children in 2015 ($),average family size of couple economic families with children
322,35250097,159232,4.2
323,35250098,x,5.3
324,35250099,164352,4.0
325,35250100,132864,4.1
326,35250101,136704,3.9
327,35250102,153600,4.0
328,35250105,128896,3.9
329,35250106,124160,3.8
330,35250107,127488,4.2
331,35250108,110336,3.6
332,35250109,132608,4.1
333,35250110,108288,4.2
334,35250111,114944,3.9
335,35250112,113664,4.2
336,35250113,130816,4.3
337,35250114,116736,4.0
338,35250115,75136,4.2
339,35250116,100608,4.3
340,35250117,96000,4.2
341,35250118,101248,3.9
342,35250119,109184,3.9
343,35250120,89984,4.1
344,35250121,89344,4.1
345,35250122,129024,4.3
346,35250123,135680,4.5
347,35250124,110848,3.6
348,35250125,102656,3.7
349,35250126,87808,4.3
350,35250127,127104,4.1
351,35250128,153088,4.3
352,35250129,130304,4.0
353,35250130,149504,3.9
354,35250133,0,3.0
355,35250134,131840,4.1
356,35250135,123648,4.2
357,35250136,136192,4.2
358,35250137,138240,4.3
359,35250144,161792,4.2
360,35250145,178688,3.8
361,35250146,186880,4.0
362,35250147,152064,4.0
363,35250148,177152,3.8
364,35250149,153600,4.0
365,35250150,126464,4.1
366,35250151,147712,3.8
367,35250152,162560,4.0
368,35250153,165376,3.8
369,35250156,159744,3.9
370,35250158,236032,3.9
371,35250159,204800,4.0
372,35250160,191488,4.2
373,35250161,247296,4.2
374,35250162,196096,3.9
375,35250163,253440,4.2
376,35250164,168960,4.1
377,35250172,142336,4.1
378,35250173,136192,4.1
379,35250175,105984,4.2
380,35250176,132096,3.8
381,35250177,116480,4.3
382,35250178,135424,4.0
383,35250179,137984,4.1
384,35250180,106752,4.2
385,35250181,115200,4.2
386,35250183,x,3.8
387,35250184,127744,3.6
388,35250185,107264,4.0
389,35250186,93440,4.1
390,35250188,120576,4.0
391,35250189,160085,4.1
392,35250190,97792,4.3
393,35250191,108288,4.0
394,35250192,119296,3.9
395,35250193,154112,3.8
396,35250194,141312,3.7
397,35250196,131072,4.1
398,35250197,110592,4.3
399,35250199,105856,4.3
400,35250200,143872,4.2
401,35250201,82432,4.0
402,35250202,67712,4.0
403,35250203,88192,4.1
404,35250204,51584,4.4
405,35250205,x,3.8
406,35250206,93696,3.8
407,35250207,108800,4.2
408,35250208,120320,4.2
409,35250209,141824,4.4
410,35250210,129920,3.9
411,35250211,0,3.0
412,35250212,90880,4.3
413,35250213,116480,3.6
414,35250216,121344,4.5
415,35250217,84480,4.3
416,35250218,75520,3.9
417,35250221,57600,3.3
418,35250222,120576,4.1
419,35250223,106624,3.5
