geo_code,,median_government_transfers_2015,median_income
35250087,female,6064,26176
35250087,male,5168,37248
35250088,female,8480,29632
35250088,male,8848,42368
35250089,female,12992,29760
35250089,male,11104,27456
35250093,female,9312,33920
35250093,male,5392,40192
35250094,female,6480,27328
35250094,male,3808,31296
35250095,female,8224,29888
35250095,male,9312,39808
35250096,female,3852,25024
35250096,male,1444,31488
35250097,female,5712,22272
35250097,male,2512,49536
35250098,female,x,x
35250098,male,x,x
35250099,female,7600,28224
35250099,male,7392,39936
35250100,female,8912,37376
35250100,male,8112,49792
35250101,female,7088,41216
35250101,male,7792,49408
35250102,female,2952,46528
35250102,male,8864,53888
35250105,female,9952,40320
35250105,male,8480,44416
35250106,female,10608,33920
35250106,male,7728,37120
35250107,female,5520,38784
35250107,male,7568,42688
35250108,female,7328,30101
35250108,male,7872,44416
35250109,female,5440,35008
35250109,male,7536,43072
35250110,female,8384,33408
35250110,male,5824,48128
35250111,female,14624,27840
35250111,male,13120,45952
35250112,female,6448,23744
35250112,male,5888,39232
35250113,female,6768,26432
35250113,male,5328,30912
35250114,female,8048,29504
35250114,male,9920,44672
35250115,female,6504,28224
35250115,male,1915,30272
35250116,female,4720,31584
35250116,male,1624,44416
35250117,female,5232,36224
35250117,male,750,33920
35250118,female,6688,25664
35250118,male,3944,38528
35250119,female,7152,27456
35250119,male,2248,35072
35250120,female,4520,29376
35250120,male,845,30720
35250121,female,7104,25440
35250121,male,1432,39296
35250122,female,7216,29184
35250122,male,5456,41088
35250123,female,6296,34688
35250123,male,4496,42752
35250124,female,6944,30400
35250124,male,4560,27328
35250125,female,5408,29760
35250125,male,1412,37632
35250126,female,7600,21824
35250126,male,1200,22720
35250127,female,3000,32288
35250127,male,622,41984
35250128,female,2136,30912
35250128,male,631,46165
35250129,female,4240,34944
35250129,male,2824,50304
35250130,female,3992,37248
35250130,male,5568,43392
35250133,female,15605,14624
35250133,male,15504,782
35250134,female,6800,31296
35250134,male,6048,38016
35250135,female,3336,37589
35250135,male,750,48981
35250136,female,5984,27776
35250136,male,8480,30016
35250137,female,4976,33408
35250137,male,6400,53376
35250144,female,3368,45856
35250144,male,986,64320
35250145,female,5952,40576
35250145,male,3400,53376
35250146,female,5904,40832
35250146,male,1380,55744
35250147,female,4352,37632
35250147,male,5952,49536
35250148,female,6592,35712
35250148,male,6464,50432
35250149,female,3152,39424
35250149,male,667,40704
35250150,female,12800,34688
35250150,male,10080,45440
35250151,female,5808,36992
35250151,male,8395,45995
35250152,female,7840,38464
35250152,male,8352,44416
35250153,female,7920,39360
35250153,male,4040,39808
35250156,female,3336,34432
35250156,male,3552,51840
35250158,female,4976,45696
35250158,male,1828,69120
35250159,female,4512,38528
35250159,male,1208,64640
35250160,female,3176,43904
35250160,male,3736,62720
35250161,female,3851,51328
35250161,male,1324,81493
35250162,female,4496,40832
35250162,male,2536,50688
35250163,female,10080,38976
35250163,male,1908,72448
35250164,female,11760,30144
35250164,male,8288,39936
35250172,female,4504,30144
35250172,male,3848,50816
35250173,female,4072,39381
35250173,male,1664,67328
35250175,female,5200,29248
35250175,male,696,45952
35250176,female,2984,33152
35250176,male,1564,50304
35250177,female,6416,31936
35250177,male,1118,39936
35250178,female,2608,30272
35250178,male,1644,47232
35250179,female,1964,31744
35250179,male,602,45056
35250180,female,4944,32128
35250180,male,1200,47659
35250181,female,4448,29632
35250181,male,1756,37312
35250183,female,x,x
35250183,male,x,x
35250184,female,2072,35712
35250184,male,2792,56448
35250185,female,4160,32320
35250185,male,5168,38016
35250186,female,5840,21440
35250186,male,6800,41984
35250188,female,4960,37312
35250188,male,2816,44736
35250189,female,3688,35584
35250189,male,1052,42112
35250190,female,5648,24384
35250190,male,2736,43392
35250191,female,6416,29760
35250191,male,1596,36352
35250192,female,3540,38400
35250192,male,1436,51584
35250193,female,3880,30272
35250193,male,4112,51648
