,geo_code,Income (M),Government Transfer (M)
486,35250304,42816,5784
487,35250305,37248,6056
488,35250306,41088,7904
489,35250307,35968,3736
490,35250308,44608,1174
491,35250309,40832,1420
492,35250310,48384,2028
493,35250311,48640,2584
494,35250312,43008,5328
495,35250313,39808,8272
496,35250315,17600,15066
497,35250316,48000,2616
498,35250317,47936,1584
499,35250318,0,0
500,35250319,34688,942
501,35250320,30656,7632
502,35250321,37376,4464
503,35250322,36864,7216
504,35250323,31008,6032
505,35250324,13536,4696
506,35250326,40320,1300
507,35250327,28032,3560
508,35250328,34688,4888
509,35250329,35200,6288
510,35250330,30016,2216
511,35250331,30464,2520
512,35250332,37504,5768
513,35250333,43008,4256
514,35250334,36736,6000
515,35250335,47872,5472
516,35250336,38560,6864
517,35250337,30656,9248
518,35250338,30880,7760
519,35250339,38400,2408
520,35250340,42112,3688
521,35250341,30528,8272
522,35250342,39232,3312
523,35250343,37760,8416
524,35250344,45184,7728
525,35250345,47488,5680
526,35250346,43136,4240
527,35250347,40064,3832
528,35250348,41280,2916
529,35250349,44928,1988
530,35250350,28992,5552
531,35250351,31072,12544
532,35250352,31552,7088
533,35250353,27072,7792
534,35250354,36288,8368
535,35250355,42368,7824
536,35250356,42880,3984
537,35250357,50304,2408
538,35250358,48256,5488
539,35250359,45696,3224
540,35250360,41856,2456
541,35250361,35712,6096
542,35250362,40704,3432
543,35250363,35328,3424
544,35250364,0,0
545,35250365,34944,9600
546,35250366,31936,2760
547,35250367,41728,4720
548,35250368,35904,4168
549,35250369,36096,3432
550,35250370,32512,2744
551,35250371,42539,6016
552,35250372,40192,5200
553,35250373,48000,6048
554,35250374,44032,5632
555,35250375,46720,1684
556,35250376,46208,1988
557,35250377,43264,4304
558,35250378,39552,3904
559,35250379,29696,8672
560,35250380,53120,1300
561,35250381,48000,8880
562,35250382,42112,3188
563,35250383,26016,1564
564,35250384,19392,654
565,35250385,32000,1262
566,35250387,54144,902
567,35250388,68864,423
568,35250389,46592,562
569,35250390,43648,598
570,35250391,39424,1348
571,35250392,53120,594
572,35250393,32320,2824
573,35250394,30912,642
574,35250395,27712,2984
575,35250396,33280,2760
576,35250397,33344,559
577,35250398,6632,9713
578,35250399,10656,10648
579,35250400,24192,2664
580,35250401,28608,978
581,35250402,29824,1460
582,35250403,34560,1108
583,35250404,50944,522
584,35250405,39680,1212
585,35250406,27200,1196
586,35250407,36096,2120
587,35250408,25792,1202
588,35250409,27968,3120
589,35250410,41664,1424
590,35250411,36544,1692
591,35250412,24256,14496
592,35250413,39584,1944
593,35250416,32320,3024
594,35250417,31936,4416
595,35250418,30272,861
596,35250419,26512,1206
597,35250420,43520,1116
598,35250421,29632,1628
599,35250422,24640,10144
600,35250423,27072,1772
601,35250424,21440,8224
602,35250425,32299,1052
603,35250426,38176,5216
604,35250427,40064,574
605,35250428,23104,3096
606,35250429,25280,5104
607,35250430,26848,709
608,35250431,32512,1896
609,35250434,22880,900
610,35250435,22080,5560
611,35250436,26240,8768
612,35250437,24512,3848
613,35250438,22848,8560
614,35250439,25280,1564
615,35250440,35968,906
616,35250441,31360,1628
617,35250442,36160,4704
618,35250443,38784,1132
619,35250444,29504,11616
620,35250445,35712,3304
621,35250446,32256,2492
622,35250447,27200,3312
623,35250448,26432,1972
624,35250449,32384,3928
625,35250450,28160,2980
626,35250451,0,0
627,35250452,34944,1464
628,35250453,37632,4144
629,35250454,28704,1916
630,35250455,30592,6448
631,35250456,20032,11744
632,35250457,0,0
633,35250458,23040,9760
634,35250459,26976,5152
635,35250460,27072,4336
636,35250461,28736,7168
637,35250462,28352,6688
638,35250463,24384,8544
639,35250464,29952,5288
640,35250465,23531,559
641,35250466,29568,1974
642,35250467,18944,11088
643,35250468,37888,1116
644,35250471,34091,6048
645,35250472,30080,3837
646,35250473,23744,6984
647,35250474,25280,8016
648,35250475,27840,4955
649,35250476,27712,7184
650,35250477,31296,4592
651,35250478,27840,5128
652,35250479,32960,4224
653,35250480,31424,3448
654,35250481,27456,5456
655,35250482,33664,6544
656,35250483,32576,5344
657,35250484,31072,6912
658,35250485,36992,4800
659,35250486,29952,5024
660,35250487,36736,5520
661,35250488,37248,4576
662,35250489,35456,4528
663,35250490,32448,6672
664,35250491,14624,1616
665,35250492,42496,2808
666,35250493,34944,2720
667,35250494,35883,7568
668,35250495,34816,5264
669,35250496,0,0
670,35250497,30656,2888
671,35250498,28672,2696
672,35250499,32896,2036
673,35250501,38528,2664
674,35250502,55424,622
675,35250503,23360,626
676,35250504,16533,557
677,35250506,37760,1300
678,35250507,34944,874
679,35250508,63744,617
680,35250509,51456,682
681,35250510,55680,468
682,35250511,49216,1752
683,35250512,43093,2944
684,35250513,36992,1148
685,35250514,51456,5616
686,35250515,49664,4576
687,35250516,43904,7336
688,35250517,45952,1564
689,35250518,40320,7904
690,35250519,44416,5552
691,35250520,39424,5360
692,35250521,37675,4848
693,35250522,0,0
694,35250523,26880,7824
695,35250524,29504,2896
696,35250525,43264,1556
697,35250526,19648,5000
698,35250527,39211,8640
699,35250528,29472,11136
700,35250529,34624,6832
701,35250530,28608,1196
702,35250531,41216,4912
703,35250532,28864,5792
704,35250533,25664,5024
705,35250534,30784,2904
706,35250535,27712,5520
707,35250536,33877,4880
708,35250537,31520,1532
709,35250538,36480,8528
710,35250539,38976,3080
711,35250540,44672,6896
712,35250541,33856,1756
713,35250542,38912,3144
714,35250545,28096,9568
715,35250546,34432,3592
716,35250547,39296,2824
717,35250548,35648,3632
718,35250549,39168,1588
