geo_code,,"under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 and over"
35240453,female,35,35,25,25,35,30,10,10,5,5,0,10
35240453,male,25,30,25,25,20,20,25,10,15,15,25,5
35240455,female,25,95,125,60,50,30,20,5,5,5,5,0
35240455,male,15,40,55,40,25,25,10,10,5,5,0,0
35240459,female,25,25,20,15,20,10,15,5,10,5,10,0
35240459,male,15,10,5,10,15,15,10,15,15,10,30,10
35240460,female,35,30,25,15,15,15,10,15,10,10,10,5
35240460,male,20,20,20,20,20,20,10,10,10,5,15,15
35240461,female,30,30,15,25,30,20,10,5,5,15,10,5
35240461,male,15,15,20,15,20,15,10,15,10,15,20,30
35240462,female,20,25,30,20,20,15,10,20,10,5,20,10
35240462,male,10,15,15,15,10,20,20,5,5,15,15,15
35240463,female,45,50,40,35,25,25,15,10,10,15,10,5
35240463,male,25,20,20,25,20,10,25,15,20,10,30,15
35240464,female,10,20,20,20,20,5,15,5,0,10,5,0
35240464,male,10,10,15,10,10,10,0,5,10,0,10,10
35240465,female,35,70,105,80,55,35,15,10,5,5,5,5
35240465,male,25,60,60,40,40,25,20,20,0,5,10,5
35240466,female,35,65,45,55,30,25,15,15,10,5,10,5
35240466,male,25,45,35,30,30,25,20,20,10,10,15,5
35240467,female,25,30,60,30,20,15,10,10,15,15,20,20
35240467,male,15,20,25,20,10,15,15,5,15,10,30,45
35240468,female,25,20,20,20,5,10,15,10,10,5,30,25
35240468,male,35,15,15,5,5,10,0,10,15,5,25,60
35240469,female,30,45,45,25,30,15,10,5,10,5,15,0
35240469,male,15,30,20,15,15,15,10,10,10,10,20,15
35240470,female,20,20,15,20,30,10,10,15,10,5,30,40
35240470,male,30,10,5,10,10,10,10,10,10,15,30,95
35240471,female,25,30,20,15,15,10,10,5,10,15,25,15
35240471,male,20,25,10,10,15,10,10,5,10,10,20,55
35240472,female,45,45,30,20,25,20,15,10,15,15,30,25
35240472,male,25,20,25,10,15,15,10,15,5,10,45,60
35240473,female,45,35,20,15,15,20,5,15,10,10,25,10
35240473,male,25,15,10,10,15,20,20,10,10,10,30,30
35240474,female,40,35,25,25,20,15,20,15,20,15,25,10
35240474,male,30,15,25,10,20,15,25,15,20,10,35,45
35240475,female,50,40,30,20,25,20,15,15,5,20,15,5
35240475,male,20,35,25,15,15,15,20,10,10,20,40,35
35240476,female,40,35,15,15,15,10,15,10,10,10,20,20
35240476,male,30,15,15,15,10,20,10,5,10,10,40,50
35240477,female,35,35,20,25,25,25,15,15,10,10,30,25
35240477,male,35,15,20,15,5,15,5,5,15,15,35,65
35240478,female,20,25,5,10,15,15,5,5,0,10,10,5
