geo_code,,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Public transit,Walked,Bicyle,Other
35240529,female,100,10,0,0,0,0
35240529,male,110,0,10,0,0,0
35240530,female,105,20,10,0,0,0
35240530,male,125,20,0,0,0,0
35240531,female,125,10,0,0,0,0
35240531,male,105,0,10,0,0,0
35240532,female,320,15,30,0,0,0
35240532,male,255,15,35,10,10,0
35240533,female,85,15,0,0,0,0
35240533,male,110,10,10,0,0,0
35240534,female,80,25,10,0,0,0
35240534,male,95,25,10,10,10,0
35240535,female,70,0,15,0,0,0
35240535,male,105,10,10,0,0,15
35240536,female,105,20,30,15,10,10
35240536,male,145,15,30,10,0,0
35240537,female,175,10,15,10,0,0
35240537,male,130,10,15,10,0,0
35240538,female,255,15,35,25,0,0
35240538,male,215,20,40,0,0,0
35240539,female,190,0,20,20,0,0
35240539,male,215,15,15,0,0,0
35240540,female,90,0,10,10,0,0
35240540,male,90,0,0,0,0,0
35240541,female,80,0,10,10,0,0
35240541,male,90,0,15,0,0,0
35240542,female,105,20,10,0,0,0
35240542,male,75,0,10,0,0,0
35240543,female,130,10,10,0,0,0
35240543,male,150,10,0,0,10,0
35240544,female,95,10,20,0,0,0
35240544,male,60,10,15,0,10,0
35240545,female,190,10,15,10,0,0
35240545,male,225,10,10,0,0,0
35240546,female,140,10,20,10,0,0
35240546,male,165,10,10,15,0,0
35240590,female,200,10,50,20,10,0
35240590,male,180,0,15,20,0,0
35240591,female,170,25,35,25,0,0
35240591,male,210,0,25,10,10,10
35240592,female,310,15,80,20,10,0
35240592,male,450,10,55,45,0,0
35240593,female,240,15,30,0,0,10
35240593,male,265,20,50,15,0,0
35240594,female,155,20,10,15,10,0
35240594,male,150,35,25,25,15,10
35240595,female,195,10,20,10,0,10
35240595,male,170,10,10,0,0,0
35240596,female,155,10,15,0,0,0
35240596,male,180,10,0,0,0,0
35240598,female,405,0,60,10,0,0
35240598,male,355,30,35,15,10,0
35240641,female,85,10,0,10,0,10
35240641,male,120,0,10,0,0,10
35240642,female,90,10,15,10,0,0
35240642,male,100,0,10,0,0,10
35240643,female,95,15,10,15,0,10
35240643,male,140,10,20,15,0,0
35240644,female,70,10,0,0,0,10
