LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
16 291259 01 1J,Eating Establishment,Restaurant with Liquor Service,2504841 ONTARIO INC O/A BOSTON PIZZA,727 QUEENSTON RD  HAMILTON ON,23/08/2018
16 290997 01 1J,Eating Establishment,Restaurant with Liquor Service,2504841 Ontario Inc o/a Boston Pizza,135 UPPER CENTENNIAL PKWY  STONEY CREEK ON,13/07/2018
16 291694 00 1J,Eating Establishment,Restaurant,2505004 ONTARIO INC O/A SUGAR MARMALADE,65 KING ST E  HAMILTON ON,12/04/2018
16 291462 01 1J,Eating Establishment,Restaurant,2511411 ONTARIO INC O/A DAIRY QUEEN,1070 STONE CHURCH RD E  HAMILTON ON L8W 3K8,04/11/2018
15 287352 02 1J,Eating Establishment,Restaurant Take-Out,2511668 ONTARIO INC. O/A HESS VILLIAGE PIZZA,54 QUEEN ST S  HAMILTON ON L8P 3R5,30/03/2018
17 292198 00 1J,Eating Establishment,Restaurant,2511787 ONTARIO INC O/A RIZBOWL,81 KING ST E  STONEY CREEK ON,04/07/2018
16 291450 01 1J,Eating Establishment,Restaurant Take-Out,2513432 ONTARIO INC O/A MANNA KOREAN TAKEOUT,1050 KING ST W  HAMILTON ON L8S 1L5,13/09/2018
16 291804 01 1J,Eating Establishment,Restaurant,2515152 ONTARIO INC O/A OSMOWS GRILL,101 OSLER DR  DUNDAS ON,03/01/2019
16 291067 01 1J,Eating Establishment,Restaurant,2515265 ONTARIO INC O/A LOS PALMAS BISTRO,25 MAIN ST W  HAMILTON ON L4V 1H5,10/06/2018
17 291196 01 1J,Eating Establishment,Restaurant,2516293 ONTARIO INC O/A PIZZA PIZZA,141 HWY 8  STONEY CREEK ON,12/08/2018
16 291353 01 1J,Eating Establishment,Restaurant,2519672 ONTARIO INC,1100 GOLF LINKS RD  ANCASTER ON,23/08/2018
16 291124 01 1J,Eating Establishment,Restaurant with Liquor Service,2520243 ONTARIO INC O/A IRON CHEF CHINESE RESTAURANT,1116 UPPER SHERMAN AVE  HAMILTON ON,05/10/2018
17 292866 00 1J,Eating Establishment,Restaurant,2521874 ontario incorporated operating as Popeye's,1183 WILSON ST W BLDG C4 ANCASTER ON L9G 0E8,28/08/2018
17 293201 00 1J,Eating Establishment,Restaurant,2523634 Ontario Inc. o/a FRESHII,101 OSLER DR  DUNDAS ON,03/01/2019
16 291392 01 1J,Eating Establishment,Restaurant Take-Out,2523856 ONTARIO INC. O/A A1 PIZZA CENTRE,2 CASTLEWOOD BLVD UNIT 1 DUNDAS ON L9H 7M8,17/11/2018
16 291305 01 1J,Eating Establishment,Restaurant,2524589 ONTARIO INC O/A GREEN BAR,236 JAMES ST N  HAMILTON ON,01/12/2018
17 292062 00 1J,Eating Establishment,Restaurant,2525121 ONTARIO LTD O/A  PARAMOUNT FINE FOODS,1441 UPPER JAMES ST  HAMILTON ON,26/05/2018
16 291383 01 1J,Eating Establishment,Restaurant with Liquor Service,2525914 ONTRIO LTD O/A KING'S LANDING,1900 KING ST E  HAMILTON ON L8K 1W1,18/11/2018
17 292654 00 1J,Eating Establishment,Restaurant Take-Out,2530502 Ontario Inc. o/a PIZZA HUT,1179 WILSON ST W BLDG C5 ANCASTER ON,16/08/2018
16 291695 00 1J,Eating Establishment,Restaurant with Liquor Service,2530585 ONTARIO INC O/A BOTTOM'S UP,737 BARTON ST E  HAMILTON ON,11/05/2018
16 291523 01 1J,Eating Establishment,Restaurant Take-Out,2532117 ONTARIO INC O/A BRUNO'S  PIZZA & WINGS,872 UPPER SHERMAN AVE  HAMILTON ON,11/01/2019
16 291499 01 1J,Eating Establishment,Restaurant Take-Out,2532275 ONTARIO INC O/A  LA  PREP,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,04/11/2018
16 291425 01 1J,Eating Establishment,Restaurant with Liquor Service,2532489 ONTARIO INC O/A ONE DUKE RESTAURANT & LOUNGE,1 DUKE ST  HAMILTON ON L8P 1W9,27/09/2018
17 292756 00 1J,Eating Establishment,Restaurant with Liquor Service,2534146 ONTARIO INC O/A GOLDEN HARBOUR,255 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,20/09/2018
16 291544 00 1J,Eating Establishment,Restaurant Take-Out,2536745 ONTARIO INC O/A LOCKE ST BAKERY,353 MAIN ST W  HAMILTON ON L8P 1K3,20/03/2018
16 291488 01 1J,Eating Establishment,Restaurant with Liquor Service,2536755 ONTARIO INC O/A MY THAI,21 JOHN ST N  HAMILTON ON,19/12/2018
16 291589 01 1J,Eating Establishment,Restaurant with Liquor Service,2538462 ONTARIO LIMITED O/A MY-THAI STONEY CREEK,826 QUEENSTON RD  STONEY CREEK ON L8G 4A8,03/01/2019
14 281875 03 1J,Eating Establishment,Restaurant Take-Out,2538791 ONTARIO INC,1127 KING ST E  HAMILTON ON L8M 1E5,28/08/2018
16 291609 00 1J,Eating Establishment,Restaurant Take-Out,2541551 ONTARIO INC O/A HAMMER TOWN SUBS,61 JOHN ST S  HAMILTON ON,24/02/2018
16 291632 01 1J,Eating Establishment,Restaurant Take-Out,2544686 ONTARIO INC O/A CHASKA FRIED CHICKEN,1610 BARTON ST E  HAMILTON ON,19/12/2018
17 292387 00 1J,Eating Establishment,Restaurant,2547401 Ontario Inc. o/a THE GREEK KITCHEN,1170 RYMAL RD E  HAMILTON ON,18/05/2018
17 292277 00 1J,Eating Establishment,Restaurant with Liquor Service,2551336 ONTARIO INC O/A JERUSALEM PITA,760 CONCESSION ST  HAMILTON ON,18/01/2019
17 292340 00 1J,Eating Establishment,Restaurant,2557210 ONTARIO INC O/A PIZZAVILLE,94 DUNDAS ST E  FLAMBOROUGH ON,18/05/2018
16 291132 01 1J,Eating Establishment,Restaurant,256048 ONTARIO INC. SUNNYSIDE GRILL,184 HWY 8 UNIT 1-8 STONEY CREEK ON L8G 1C3,29/06/2018
17 293014 00 1J,Eating Establishment,Restaurant Take-Out,2564322 Ontario Inc. o/a JUSTEAS,2 KING ST W  HAMILTON ON,27/09/2018
17 292354 00 1J,Eating Establishment,Restaurant with Liquor Service,2566487 ONTARIO INC O/A SYMPOSIUM CAFE,64 HAMILTON ST N  FLAMBOROUGH ON L0R 2H6,23/06/2018
17 292296 00 1J,Eating Establishment,Restaurant Take-Out,2566917 ONTARIO INC. O/A JIMMY THE GREEK,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,01/05/2018
18 285671 03 1J,Eating Establishment,Restaurant Take-Out,2567347 Ontario Inc,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,17/01/2019
17 292482 00 1J,Eating Establishment,Restaurant,2568787 Ontario Ltd. SECOND CUP CO.,1004 KING ST W  HAMILTON ON L8S 1L1,12/07/2018
17 292282 00 1J,Eating Establishment,Restaurant,2569394 ONTARIO INC O/A CEDAR FALAFEL AND SHAWARMA,1405 UPPER OTTAWA ST  HAMILTON ON L8W 3J6,02/05/2018
17 292494 00 1J,Eating Establishment,Restaurant with Liquor Service,2571295 ONTARIO INC O/A THE OWL OF MINERVA,309 MAIN ST E  HAMILTON ON,10/08/2018
17 293246 00 1J,Eating Establishment,Restaurant,2571599 Ontario Inc. o/a TWIST BURGER BAR,298 KING ST W  HAMILTON ON L8P 1B2,15/11/2018
17 292731 00 1J,Eating Establishment,Restaurant,2575378 ONTARIO INC O/A PIZZA INFERNO & WINGS,483 HWY 8  STONEY CREEK ON L8G 5B9,18/09/2018
17 292486 00 1J,Eating Establishment,Restaurant with Liquor Service,2580363 ONTARIO INC O/A AOUT'N ABOUT,21 AUGUSTA ST  HAMILTON ON L8N 1P6,11/09/2018
17 293207 00 1J,Eating Establishment,Restaurant,2580978 Ontario Inc. o/a SUBWAY,447 CONCESSION ST  HAMILTON ON L9A 1C1,09/11/2018
17 292996 00 1J,Eating Establishment,Restaurant,2587671 ONTARIO INC O/A KENZO HAMILTON,19 KING ST E  HAMILTON ON L8N 1A1,18/10/2018
17 292779 00 1J,Eating Establishment,Restaurant Take-Out,2588894 Ontario Inc. o/a WAH SARDAARJI,77 JAMES ST N  HAMILTON ON L8R 2K3,26/09/2018
17 293466 00 1J,Eating Establishment,Restaurant with Liquor Service,2590545 ONTARIO INC O/A CARO RESTAURANT & BAR,2 OTTAWA ST N  HAMILTON ON,05/01/2019
17 293217 00 1J,Eating Establishment,Restaurant,2590623 Ontario Inc. o/a THE BLEND SMOOTHIES EVOLVED,2537 REGIONAL ROAD 56  GLANBROOK ON,22/01/2019
17 292959 00 1J,Eating Establishment,Restaurant with Liquor Service,2591327 ONTARIO INC O/A EAST SIDE MARIO'S,750 QUEENSTON RD  HAMILTON ON L8G 3N3,29/11/2018
17 292245 00 1J,Eating Establishment,Restaurant with Liquor Service,2595597 ONTARIO INC. O/A KITCHEN BLU,32 HESS ST S  HAMILTON ON,12/09/2018
17 293093 00 1J,Eating Establishment,Restaurant Take-Out,2596868 ONTARIO LTD O/A EAST CITY CHINESE FOOD,1130 FENNELL AVE E  HAMILTON ON,20/11/2018
17 293266 00 1J,Eating Establishment,Restaurant Take-Out,2601228 ONTARIO INC/RED ROCKETS,1405 UPPER OTTAWA ST  HAMILTON ON L8W 3J6,14/11/2018
14 280366 03 1J,Eating Establishment,Restaurant Take-Out,2934485 CANADA INC. O/A WOK EXPRESS,1275 BARTON ST E BLDG  L HAMILTON ON L8H 2V4,08/11/2018
15 125109 03 1J,Eating Establishment,Restaurant,387075 Ontario Inc. o/a TALLY HO,1536 MAIN ST W  HAMILTON ON L8S 1E4,22/05/2018
14 281601 03 1J,Eating Establishment,Restaurant,447 WING (HAMILTON) ROYAL CANADIAN AIR FORCE ASSOCIATION,3210 HOMESTEAD DR  GLANBROOK ON,28/11/2018
14 280148 03 1J,Eating Establishment,Restaurant Take-Out,4473019 CANADA INC O/A VILLA MADINA,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,04/11/2018
15 125206 03 1J,Eating Establishment,Restaurant,536175 ONTARIO LIMITED O/A THE DONUT STOP,617 PARKDALE AVE N  HAMILTON ON L8H 5Z1,11/06/2018
14 204931 03 1J,Eating Establishment,Restaurant Take-Out,572898 ONTARIO INC. O/A TIM HORTONS,249 UPPER CENTENNIAL PKWY  STONEY CREEK ON L8J 2V7,23/06/2018
14 169511 03 1J,Eating Establishment,Restaurant,572898 ONTARIO INC. O/A TIM HORTONS,244 UPPER CENTENNIAL PKWY  STONEY CREEK ON,07/06/2018
14 277258 03 1J,Eating Establishment,Lunch Counter,6494480 CANADA CORP.  O/A SUBWAY SANDWICH,1119 FENNELL AVE E  HAMILTON ON L8T 1S2,28/07/2018
14 277750 03 1J,Eating Establishment,Restaurant,6637256 CANADA INC O/A  POPEYES CHICKEN,550 FENNELL AVE E  HAMILTON ON L8V 1T1,11/02/2019
14 276052 03 1J,Eating Establishment,Restaurant with Liquor Service,"6676880 CANADA INC., O/A DOORS PUB",56 HESS ST S  HAMILTON ON,07/11/2018
14 170961 03 1J,Eating Establishment,Restaurant,690721 ONTARIO LTD O/A TIM HORTON'S,32 YORK RD  DUNDAS ON L9H 1L4,21/09/2018
14 171030 03 1J,Eating Establishment,Restaurant,690721 ONTARIO LTD O/A TIM HORTON'S,86 MAIN ST  DUNDAS ON L9H 2R1,08/06/2018
16 125134 02 1J,Eating Establishment,Restaurant,718695 ONTARIO INC. O/A THE KEG,1170 UPPER JAMES ST  HAMILTON ON L9C 3B1,27/03/2018
13 279336 03 1J,Eating Establishment,Restaurant Take-Out,7291744 CANADA INC. O/A MR CHICKEN SHAWARMA,800 QUEENSTON RD  STONEY CREEK ON L8G 1A7,05/05/2018
15 287697 02 1J,Eating Establishment,Restaurant with Liquor Service,740836 ONTARIO INC. O/A SAN REMO RUSTICO RISTORANTE,73 KING ST W  STONEY CREEK ON,26/10/2018
