LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
13 193292 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),14 SHERWOOD PARK RD  STONEY CREEK ON,23/04/2018
13 193279 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),4300 BINBROOK RD  GLANBROOK ON,23/04/2018
13 193287 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),37 KING ST W  STONEY CREEK ON,08/04/2018
13 193278 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),100 GREENHILL AVE  HAMILTON ON L8K 5E3,20/03/2018
12 193288 03 1J,Eating Establishment,Restaurant Take-Out,CITY OF HAMILTON (OLYMPIC ARENA),385 JERSEYVILLE RD W  ANCASTER ON,09/03/2018
17 292134 00 1J,Eating Establishment,Restaurant Take-Out,CITY PIZZA AND SHAWARMA,1575 UPPER OTTAWA ST  HAMILTON ON L8W 3E2,07/06/2018
14 125251 04 1J,Eating Establishment,Restaurant,CK. & R. INVESTMENTS O/A TIM HORTON DONUT,952 FENNELL AVE E  HAMILTON ON,12/11/2018
15 288253 01 1J,Eating Establishment,Restaurant with Liquor Service,COCO BONGO NIGHT CLUB INCORPORATED,303 YORK BLVD  HAMILTON ON L8R 3K5,18/03/2018
15 284140 02 1J,Eating Establishment,Restaurant,COFFEE HOUSE AND THEN SOME,248 FREELTON RD  FLAMBOROUGH ON,22/03/2018
15 287684 02 1J,Eating Establishment,Restaurant,COFFEE MARIE INC O/A TIM HORTONS,200 BARTON ST E  HAMILTON ON,15/10/2018
17 291894 00 1J,Eating Establishment,Restaurant,COJONEZ BURRITOZ,180 JAMES ST S  HAMILTON ON L8P 4V1,31/01/2018
15 125006 03 1J,Eating Establishment,Restaurant,COME BY CHANCE,78 MELVIN AVE  HAMILTON ON,27/06/2018
17 293392 00 1J,Eating Establishment,Restaurant,COMPASS GROUP CANADA LTD.,45 MAIN ST E  HAMILTON ON,11/12/2018
14 278451 03 1J,Eating Establishment,Restaurant,COMPASS GROUP CANADA LTD.,101 YORK BLVD  HAMILTON ON,01/07/2018
14 286374 02 1J,Eating Establishment,Restaurant Take-Out,COMPASS GROUP CANADA LTD.,64 MELROSE AVE N  HAMILTON ON,25/06/2018
14 277793 02 1J,Eating Establishment,Restaurant Take-Out,COMPASS GROUP CANADA LTD.,101 YORK BLVD  HAMILTON ON,30/04/2018
14 287149 02 1J,Eating Establishment,Restaurant,COMPASS GROUP CANADA LTD. O/A COYOTE JACKS #12417,135 FENNELL AVE W  HAMILTON ON L9C 1E9,11/03/2018
14 286181 03 1J,Eating Establishment,Restaurant,COMPASS POINT BIBLE CHURCH O/A 541 EATERY AND EXCHANGE,541 BARTON ST E  HAMILTON ON,31/07/2018
16 290664 01 1J,Eating Establishment,Restaurant Take-Out,CONCESSION PIZZA,576 CONCESSION ST  HAMILTON ON L8V 1B1,03/06/2018
16 291811 00 1J,Eating Establishment,Restaurant with Liquor Service,COOLER'S CAFE & SPORTSBAR,558 UPPER GAGE AVE  HAMILTON ON L8V 4J6,14/06/2018
14 205323 03 1J,Eating Establishment,Restaurant,COPETOWN WOODS GOLF CLUB INC.,1430 2ND CON RD W  FLAMBOROUGH ON,01/06/2018
14 285073 03 1J,Eating Establishment,Restaurant with Liquor Service,CORKTOWN PUB AND FARE INC,175 YOUNG ST  HAMILTON ON,12/11/2018
15 290433 02 1J,Eating Establishment,Restaurant,COUNTRY COURT CAFE,490 ARVIN AVE  STONEY CREEK ON L8E 2M9,17/12/2018
15 124975 03 1J,Eating Establishment,Lunch Counter,COUNTRY STYLE,2 KING ST W  HAMILTON ON,26/05/2018
14 169507 03 1J,Eating Establishment,Restaurant,COUNTRY STYLE,104 KING ST W  STONEY CREEK ON,26/05/2018
14 285307 03 1J,Eating Establishment,Restaurant,COUNTRYSIDE GRILLE INC. O/A COUNTRYSIDE GRILLE,2537 REGIONAL ROAD 56  GLANBROOK ON,06/02/2019
14 287074 02 1J,Eating Establishment,Restaurant Take-Out,CRONSBERRY ENTERPRISES o/a CHOCOLAT ON JAMES,123 JAMES ST N  HAMILTON ON,08/07/2018
16 291812 01 1J,Eating Establishment,Restaurant Take-Out,CRUMBUNS BAKESHOP CAFE CORP,784 CONCESSION ST  HAMILTON ON L8V 1C9,10/01/2019
16 290638 01 1J,Eating Establishment,Restaurant,CURBSIDE GRILL,224 OTTAWA ST N  HAMILTON ON,15/03/2018
14 286944 02 1J,Eating Establishment,Restaurant Take-Out,D & A PIZZA,15 LOCKPORT WAY  STONEY CREEK ON,17/12/2018
15 125541 03 1J,Eating Establishment,Restaurant,DAIRY QUEEN BRAZIER RESTAURANT,415 MAIN ST W  HAMILTON ON L8P 1K5,20/06/2018
14 171481 03 1J,Eating Establishment,Restaurant,DAIRY QUEEN RESTAURANT,233 DUNDAS ST E  FLAMBOROUGH ON,04/10/2018
16 125378 02 1J,Eating Establishment,Restaurant,DAVID-MAUR HOLDING CORP /TIM HORTONS,799 BARTON ST E  HAMILTON ON L8L 3B2,03/04/2018
14 281971 02 1J,Eating Establishment,Restaurant,DAVID-MAUR HOLDINGS CORP O/A TIM HORTONS,505 CANNON ST E  HAMILTON ON,09/03/2018
15 287941 02 1J,Eating Establishment,Restaurant with Liquor Service,DB RESTAURANTS LTD. O/A THE HARBOUR DINER,486 JAMES ST N  HAMILTON ON,11/09/2018
16 291847 01 1J,Eating Establishment,Restaurant,DE ROSA BAKERY AND RESTAURANT,549 WILSON ST  HAMILTON ON L8L 1T6,28/02/2019
16 291822 01 1J,Eating Establishment,Restaurant,DECO'S DELI & LOUNGE,77 JAMES ST N  HAMILTON ON L8R 2K3,13/01/2019
17 293335 00 1J,Eating Establishment,Restaurant Take-Out,Delirious Burger Co.,197 LOCKE ST S  HAMILTON ON L8R 4B5,14/12/2018
17 292557 00 1J,Eating Establishment,Restaurant Take-Out,DENGI'S KITCHEN,535 KING ST E  HAMILTON ON,21/09/2018
14 283130 03 1J,Eating Establishment,Restaurant,DGH  10 INC. O/A A & W,190 BARTON ST E  HAMILTON ON,12/07/2018
14 281522 03 1J,Eating Establishment,Restaurant,DHG 10 INC O/A A & W RYMAL ROAD,2226 RYMAL RD E  GLANBROOK ON,24/11/2018
14 283129 03 1J,Eating Establishment,Restaurant,DHG 10 INC. O/A A & W,194 KING ST W  HAMILTON ON,08/01/2019
14 279365 03 1J,Eating Establishment,Restaurant,DHG 10 INC. O/A A&W QUEENSTON,165 HWY 8  STONEY CREEK ON,13/09/2018
17 293496 00 1J,Eating Establishment,Restaurant,DHG 13 INC. o/a A&W ,99 DUNDAS ST E  FLAMBOROUGH ON,18/01/2019
15 287712 02 1J,Eating Establishment,Restaurant with Liquor Service,DIAMANTINO'S PIZZA Care of 1944947 Ontario Inc.,341 BARTON ST E  HAMILTON ON,11/01/2019
14 279793 03 1J,Eating Establishment,Restaurant Take-Out,DIANA'S PIZZA & GRILL LTD.,263 KENILWORTH AVE N  HAMILTON ON,16/06/2018
14 170029 03 1J,Eating Establishment,Restaurant Take-Out,DOMENIC'S PIZZA,3194 REGIONAL ROAD 56  GLANBROOK ON,31/01/2019
14 276225 03 1J,Eating Establishment,Restaurant,DOMINION PIZZA & SUBMARINES,309 GRAYS RD  HAMILTON ON L8E 1V6,04/09/2018
17 293457 00 1J,Eating Establishment,Restaurant,DONUT MONSTER INC.,246 LOCKE ST S  HAMILTON ON L8R 4B9,05/01/2019
14 281580 03 1J,Eating Establishment,Restaurant with Liquor Service,DOUG MILLAR SPORTS LTD O/A SOUTHERN PINES GOLF & COUNTRY CLUB,8453 AIRPORT RD E  GLANBROOK ON,30/10/2018
17 293130 00 1J,Eating Establishment,Restaurant,DOUGHBOY DONUTS INC.,625 GREENHILL AVE  HAMILTON ON L8K 5W9,03/11/2018
15 125343 03 1J,Eating Establishment,Restaurant,DOWNTOWN CAFE,20 HUGHSON ST S  HAMILTON ON,23/05/2018
14 274883 03 1J,Eating Establishment,Restaurant,DREAM'S CAFE,94 CANNON ST W  HAMILTON ON,07/09/2018
14 141568 03 1J,Eating Establishment,Restaurant Take-Out,DUARTE SUPERMARKET,417 BARTON ST E  HAMILTON ON L8L 2Y4,09/06/2018
14 173871 02 1J,Eating Establishment,Restaurant,DUNAS VERDES CAFE INC.,253 JAMES ST N  HAMILTON ON,22/03/2018
14 171005 03 1J,Eating Establishment,Restaurant,DUNDAS PIZZA,211 YORK RD  DUNDAS ON L9H 1M9,07/09/2018
14 173170 03 1J,Eating Establishment,Restaurant with Liquor Service,DUNDAS VALLEY GOLF & CURLING CLUB,10 WOODLEY'S LANE  DUNDAS ON,18/10/2018
15 287594 02 1J,Eating Establishment,Restaurant with Liquor Service,DUNDURN MARKET INC,346 DUNDURN ST S  HAMILTON ON,29/05/2018
16 290537 02 1J,Eating Establishment,Restaurant,DURAND COFFEE,142 CHARLTON AVE W  HAMILTON ON L8P 2C7,24/02/2019
14 155887 03 1J,Eating Establishment,Restaurant,E.J. TABAR INVESTMENT INC. O/A TOBY'S GOOD EATS,2 KING ST W  HAMILTON ON,28/07/2018
14 283900 03 1J,Eating Establishment,Restaurant Take-Out,EARTH SHAKE,105 KING ST W  DUNDAS ON,09/09/2018
14 286905 03 1J,Eating Establishment,Restaurant with Liquor Service,EAST NAVIGATOR CANADA INC. O/A THE 1515 (BROWN BARREL) TAP AND GRILL,1515 UPPER OTTAWA ST  HAMILTON ON,17/12/2018
14 285002 03 1J,Eating Establishment,Restaurant Take-Out,EAST WOK INC.,1170 RYMAL RD E  HAMILTON ON,20/09/2018
13 283834 03 1J,Eating Establishment,Restaurant,EASTOWN BAR & GRILL,1142 BARTON ST E  HAMILTON ON,19/06/2018
17 292425 00 1J,Eating Establishment,Restaurant,EATWELL CULINARY GROUP INC,225 JOHN ST S  HAMILTON ON L8N 2C7,19/06/2018
14 277008 03 1J,Eating Establishment,Restaurant Take-Out,EBONYREX ENTERPRISES O/A TIM HORTONS,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,12/11/2018
16 290627 01 1J,Eating Establishment,Restaurant with Liquor Service,EDEN'S INC,1548 MAIN ST W  HAMILTON ON L8S 1E5,09/03/2018
16 197559 03 1J,Eating Establishment,Restaurant,EDGEWATER MANOR,518 FRUITLAND RD  STONEY CREEK ON,23/06/2018
14 254998 03 1J,Eating Establishment,Restaurant with Liquor Service,ED'S SPORTS BAR INC.,597 KING ST E  HAMILTON ON,15/05/2018
13 282211 03 1J,Eating Establishment,Restaurant,ELIZABETH SCOTT HOLDING CORP O/A COPPER KETTLE CAFE,312 DUNDAS ST E  FLAMBOROUGH ON,15/06/2018
14 278553 03 1J,Eating Establishment,Restaurant with Liquor Service,EMPRESS WOK CHINESE RESTAURANT INC.,101 OSLER DR  DUNDAS ON,08/10/2018
14 162514 03 1J,Eating Establishment,Restaurant,ENG'S CHINESE RESTAURANT,606 CONCESSION ST  HAMILTON ON,12/08/2018
14 177714 03 1J,Eating Establishment,Restaurant Take-Out,ENTERPRISE 1000 INC    O/A TIM HORTONS,1136 GOLF LINKS RD  ANCASTER ON L9K 1J8,11/04/2018
14 177711 03 1J,Eating Establishment,Restaurant,ENTERPRISE 1000 INC    O/A TIM HORTONS,977 GOLF LINKS RD  ANCASTER ON L8G 3T9,11/04/2018
14 277819 03 1J,Eating Establishment,Restaurant Take-Out,ENTERPRISE 1000 INC O/A TIM HORTONS (TERMINAL),9300 AIRPORT RD  GLANBROOK ON,07/01/2019
14 159850 03 1J,Eating Establishment,Restaurant Take-Out,ENTERPRISE 1000 INC. O/A TIM HORTONS,863 UPPER WENTWORTH ST  HAMILTON ON,06/06/2018
15 125408 03 1J,Eating Establishment,Restaurant,ENTERPRISE 1000 INC. O/A TIM HORTONS,990 UPPER WENTWORTH ST  HAMILTON ON L9A 4V9,03/04/2018
17 292120 00 1J,Eating Establishment,Restaurant,ESSPRESSO CAFE,90 KING ST W  DUNDAS ON L9H 1T9,30/03/2018
14 285711 03 1J,Eating Establishment,Restaurant,ETNO BAR & GRILL INC,125 GAILMONT DR  HAMILTON ON L8K 4B8,24/01/2019
14 274947 03 1J,Eating Establishment,Restaurant Take-Out,EXPRESS 2 FOR 1 PIZZA,1357 MAIN ST E  HAMILTON ON,25/09/2018
16 290942 01 1J,Eating Establishment,Restaurant Take-Out,EXTREME SANDWICH PLUS,70 KING ST E  STONEY CREEK ON,05/08/2018
13 282370 02 1J,Eating Establishment,Restaurant,F.L.A. CAFE & BAR,658 BARTON ST E  HAMILTON ON,15/03/2018
12 280147 03 1J,Eating Establishment,Restaurant Take-Out,FAMOUS RECIPE,158 KING ST W  HAMILTON ON L8P 1A6,24/10/2018
17 291991 00 1J,Eating Establishment,Restaurant,FAT BASTARD BURRITO,94 HWY 8  STONEY CREEK ON L8G 4H3,21/02/2018
16 290507 01 1J,Eating Establishment,Restaurant with Liquor Service,FERN BROOK RESORT INC,57 12TH CON RD E  FLAMBOROUGH ON,13/06/2018
15 288269 01 1J,Eating Establishment,Restaurant,FINCH CAFES INC. O/A FINCH ON LOCKE,129 LOCKE ST S  HAMILTON ON L8R 4A7,10/03/2018
16 125435 02 1J,Eating Establishment,Restaurant with Liquor Service,FISHER'S PIER 4 PUB & GRUB,554 JAMES ST N  HAMILTON ON,25/04/2018
14 281727 02 1J,Eating Establishment,Restaurant,FIVE GUYS BURGERS AND FRIES,1807 STONE CHURCH RD E BLDG 6 STONEY CREEK ON,17/04/2018
14 278601 03 1J,Eating Establishment,Restaurant,FIVE STAR CAFE,225 JAMES ST N  HAMILTON ON L8R 2L2,25/09/2018
15 175235 03 1J,Eating Establishment,Restaurant with Liquor Service,FLAMBORO DOWNS,967 HWY 5 W  FLAMBOROUGH ON,15/11/2018
16 291381 01 1J,Eating Establishment,Restaurant,FMI NATIONAL INC. - 1908503 Ontario Inc.  O/A PIZZA HUT,610 KING ST W  HAMILTON ON L8S 1C2,02/11/2018
17 292660 00 1J,Eating Establishment,Restaurant Take-Out,FMI NATIONAL INC. - 1908503 Ontario Inc.  O/A PIZZA HUT,640 QUEENSTON RD  HAMILTON ON L8K 1K2,19/10/2018
17 293427 00 1J,Eating Establishment,Restaurant Take-Out,FMI National Inc. o/a PIZZA HUT,1405 UPPER OTTAWA ST  HAMILTON ON L8W 3J6,14/12/2018
14 281833 03 1J,Eating Establishment,Restaurant,FOOD BOX LTD,180 KENILWORTH AVE N  HAMILTON ON L8H 4S1,17/10/2018
14 139659 03 1J,Eating Establishment,Restaurant with Liquor Service,FRAGOSO SEAFOOD PLACE SPORTS BAR & RESTAURANT,293 BARTON ST E  HAMILTON ON,16/12/2018
15 220168 03 1J,Eating Establishment,Restaurant,FROSTY'S FISH & CHIPS,142 KING ST W  DUNDAS ON,29/01/2019
16 291182 01 1J,Eating Establishment,Restaurant with Liquor Service,FSH & CHP INC.,47 KING WILLIAM ST  HAMILTON ON,06/07/2018
16 291300 01 1J,Eating Establishment,Restaurant,GAGE PARK DINER,975 MAIN ST E  HAMILTON ON L8M 1A7,29/07/2018
17 292489 00 1J,Eating Establishment,Restaurant,GAGE PIZZA & WINGS,804 UPPER GAGE AVE  HAMILTON ON,07/07/2018
14 275433 03 1J,Eating Establishment,Restaurant,GALLERY SNACK BAR,25 CHARLTON AVE E  HAMILTON ON,15/06/2018
14 284749 03 1J,Eating Establishment,Restaurant with Liquor Service,GAMEOPOLIS,223 KING ST E  HAMILTON ON,12/07/2018
17 293326 00 1J,Eating Establishment,Restaurant Take-Out,GARTH PIZZA & WINGS,1300 GARTH ST  HAMILTON ON L9C 4L7,05/12/2018
14 286078 03 1J,Eating Establishment,Restaurant Take-Out,GAY LEA FOODS CO-OPERATIVE LIMITED,20 MORLEY ST  HAMILTON ON,06/06/2018
14 270522 03 1J,Eating Establishment,Restaurant with Liquor Service,GENTILE ENTERPRISES INC O/A ACETTI'S PIZZERIA/PASTA HOUSE,1491 MAIN ST E  HAMILTON ON,07/11/2018
14 280085 03 1J,Eating Establishment,Restaurant with Liquor Service,GET TOGETHER BAR & GRILL,253 KENILWORTH AVE N  HAMILTON ON,14/08/2018
14 169408 03 1J,Eating Establishment,Restaurant Take-Out,GINO'S PIZZA,174 HWY 8 UNIT  STONEY CREEK ON L8G 3V2,01/11/2018
14 278184 03 1J,Eating Establishment,Restaurant Take-Out,GINO'S PIZZA,1146 BARTON ST E  HAMILTON ON,02/09/2018
14 281076 03 1J,Eating Establishment,Restaurant Take-Out,GINO'S PIZZA,640 MOHAWK RD W  HAMILTON ON L9C 1X6,01/06/2018
14 280551 03 1J,Eating Establishment,Restaurant,GIUSEPPE'S ITALIAN CUISINE & PIZZA,762 KING ST E  HAMILTON ON,03/12/2018
13 212112 03 1J,Eating Establishment,Restaurant with Liquor Service,GLI AZZURRI SPORTS BAR & CAFE,1575 UPPER OTTAWA ST  HAMILTON ON L8W 3E2,21/04/2018
17 292159 00 1J,Eating Establishment,Restaurant,GLOW JUICERY HAMILTON,35 PINE ST  HAMILTON ON L8P 2A1,02/06/2018
15 276672 02 1J,Eating Establishment,Restaurant Take-Out,GOLD CITY,2237 RYMAL RD  STONEY CREEK ON L8J 2V8,22/02/2018
15 125034 03 1J,Eating Establishment,Restaurant,GOLDEN DRAGON RESTAURANT,539 BARTON ST E  HAMILTON ON,17/07/2018
14 279238 03 1J,Eating Establishment,Restaurant,GOLDEN FLAME,142 HWY 8  STONEY CREEK ON L8G 1C2,07/01/2019
14 276665 03 1J,Eating Establishment,Restaurant,GOLDEN GRIDDLE PANCAKE HOUSE,1119 FENNELL AVE E  HAMILTON ON L8T 1S2,04/06/2018
15 287432 02 1J,Eating Establishment,Restaurant,GOOD LIFE DELI,943 KING ST E  HAMILTON ON L8M 1B9,31/03/2018
15 287993 02 1J,Eating Establishment,Restaurant,GORILLA CHEESE INC.,131 OTTAWA ST N  HAMILTON ON,16/09/2018
17 291933 00 1J,Eating Establishment,Restaurant,GOTANGO,293 WELLINGTON ST N  HAMILTON ON,06/04/2018
13 275609 03 1J,Eating Establishment,Restaurant with Liquor Service,GOWN & GAVEL RESTAURANT INC.,24 HESS ST S  HAMILTON ON,22/09/2018
16 125287 02 1J,Eating Establishment,Restaurant,GRAMMA WILLIES,1205 RYMAL RD E  HAMILTON ON L8W 3M9,06/03/2018
13 283591 03 1J,Eating Establishment,Restaurant,GRANDADS COFFEE & DONUTS,574 JAMES ST N  HAMILTON ON L8L 1J7,30/07/2018
14 200639 02 1J,Eating Establishment,Restaurant,GREAT WALL RESTAURANT,190 KENILWORTH AVE N  HAMILTON ON,24/03/2018
14 283479 03 1J,Eating Establishment,Restaurant,GREEK GRILL EXPRESS,1575 UPPER OTTAWA ST  HAMILTON ON L8W 3E2,10/10/2018
18 291731 01 1J,Eating Establishment,Restaurant,GREEK PALACE RESTAURANT INC.,22 JOHN ST N  HAMILTON ON,28/01/2019
14 278626 03 1J,Eating Establishment,Restaurant Take-Out,GREENHILL PIZZA-WINGS INC.,399 GREENHILL AVE  HAMILTON ON L8K 5E5,17/09/2018
13 281967 03 1J,Eating Establishment,Restaurant,GRETAS RESTAURANTS INC. O/A WEST END DINER,1811 MAIN ST W  HAMILTON ON L8S 1H6,10/01/2019
15 287160 02 1J,Eating Establishment,Restaurant Take-Out,GREVILLE MAIN WEST INC. O/A LITTLE CAESAR'S,1685 MAIN ST W  HAMILTON ON L8S 1G5,08/04/2018
16 290739 01 1J,Eating Establishment,Restaurant with Liquor Service,GULMI DINNER INC O/A MOUNTAIN GRILL,1065 HWY 8  STONEY CREEK ON,08/04/2018
15 285802 02 1J,Eating Establishment,Restaurant with Liquor Service,HAM BRGR INC,49 KING WILLIAM ST  HAMILTON ON L8R 1A2,25/03/2018
17 292031 00 1J,Eating Establishment,Restaurant with Liquor Service,HAMBRGR,207 OTTAWA ST N  HAMILTON ON,28/02/2018
15 290444 01 1J,Eating Establishment,Restaurant with Liquor Service,HAMFRAN INC O/A LOU DAWG'S SOUTHERN BBQ,116 GEORGE ST  HAMILTON ON L8P 1E2,31/03/2018
16 290773 01 1J,Eating Establishment,Restaurant,HAMILTON HEALTH SCIENCES VOL. ASSOC O/A MAPLEWOOD CAFE,88 MAPLEWOOD AVE  HAMILTON ON L8M 1W9,09/05/2018
15 125146 03 1J,Eating Establishment,Restaurant,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOC.,711 CONCESSION ST  HAMILTON ON,01/08/2018
15 290416 01 1J,Eating Establishment,Restaurant Take-Out,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION O/A SUNNYSIDE CAFE,325 WELLINGTON ST N  HAMILTON ON,04/02/2018
13 284336 03 1J,Eating Establishment,Restaurant Take-Out,HAMILTON WATERFRONT TRUST,47 DISCOVERY DR  HAMILTON ON,11/12/2018
12 227552 03 1J,Eating Establishment,Restaurant with Liquor Service,HAMILTON WATERFRONT TRUST,47 DISCOVERY DR  HAMILTON ON,29/05/2018
10 280333 02 1J,Eating Establishment,Restaurant Take-Out,HAMILTON WATERFRONT TRUST,57 DISCOVERY DR  HAMILTON ON,02/03/2018
14 276455 03 1J,Eating Establishment,Restaurant Take-Out,HAMILTON-WENTWORTH SPONSORS ASSOCIATION INC.,300 FENNELL AVE E  HAMILTON ON L9A 1T2,17/01/2019
16 290792 01 1J,Eating Establishment,Restaurant,HANS BARTELS FISH AND CHIPS LTD,1050 UPPER GAGE AVE  HAMILTON ON L8V 5B7,24/03/2018
16 291219 01 1J,Eating Establishment,Restaurant,HANSON HOLDINGS JAVA INC O/A COFFEE CULTURE,140 CENTENNIAL PKWY N  HAMILTON ON L8E 3H2,22/07/2018
17 292792 00 1J,Eating Establishment,Restaurant Take-Out,HARRINGTON LANE FARMS CREAMERY,19 MAIN ST S  FLAMBOROUGH ON,20/09/2018
15 287313 02 1J,Eating Establishment,Restaurant,HB RESTAURANTS INC O/A TIM HORTONS,1554 MAIN ST W  HAMILTON ON L8S 1E5,17/03/2018
14 284634 03 1J,Eating Establishment,Restaurant Take-Out,HB RESTAURANTS INC O/A TIM HORTON'S,1445 MAIN ST W  HAMILTON ON L8S 1C8,05/07/2018
16 125611 02 1J,Eating Establishment,Restaurant Take-Out,HBN FOOD LTD O/A A & W RESTAURANT,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,05/03/2018
14 280372 03 1J,Eating Establishment,Restaurant Take-Out,HBN FOODS LTD O/A A&W,1275 BARTON ST E BLDG  L HAMILTON ON L8H 2V4,04/11/2018
17 292384 00 1J,Eating Establishment,Restaurant,HEAVEN'S KITCHEN INC,54 JAMES ST N  HAMILTON ON,22/11/2018
17 293289 00 1J,Eating Establishment,Restaurant,HELLO BAKED INC,340 BARTON ST E  HAMILTON ON,29/11/2018
17 291882 00 1J,Eating Establishment,Restaurant Take-Out,HENRY BROWN'S SMALL BATCH ICE CREAM,35 YORK BLVD  HAMILTON ON,25/04/2018
14 287046 03 1J,Eating Establishment,Restaurant Take-Out,HFC FOODS INC,600 CONCESSION ST  HAMILTON ON L8V 1B3,27/01/2019
14 287095 02 1J,Eating Establishment,Restaurant Take-Out,HILLTOP EXPRESS,1400 UPPER JAMES ST  HAMILTON ON,12/02/2018
13 285017 03 1J,Eating Establishment,Restaurant Take-Out,HOMESTEAD ICE CREAM,3149 HOMESTEAD DR  GLANBROOK ON,17/06/2018
14 138021 03 1J,Eating Establishment,Restaurant Take-Out,HONG KONG CHINESE FOOD TAKE OUT,1216 UPPER WENTWORTH ST  HAMILTON ON L9A 4W2,18/01/2019
16 291508 01 1J,Eating Establishment,Restaurant with Liquor Service,Hooly Crab Restaurant,173 KING ST E  HAMILTON ON,19/10/2018
15 288084 02 1J,Eating Establishment,Restaurant Take-Out,HOT STONE PIZZA & SHAWARMA,524 BARTON ST E  HAMILTON ON L8L 2Y8,08/09/2018
14 287060 03 1J,Eating Establishment,Restaurant with Liquor Service,HOTARU SUSHI INC.,1686 MAIN ST W  HAMILTON ON L8S 1G4,13/01/2019
14 125327 04 1J,Eating Establishment,Restaurant,HUTCH'S DINGLEY DELL LTD.,280 VANWAGNERS BCH RD  HAMILTON ON L8E 3R3,10/12/2018
16 291292 01 1J,Eating Establishment,Restaurant Take-Out,ICE CYCLE TREATS INC. O/A PARADISE SMOOTHIES & ICE CREAM,919 UPPER PARADISE RD UNIT 6 HAMILTON ON L9B 2M9,16/08/2018
13 281964 03 1J,Eating Establishment,Restaurant with Liquor Service,INDIA VILLAGE GRILL RESTAURANT & CATERING LTD,90 KING ST W  DUNDAS ON L9H 1T9,05/10/2018
14 276098 03 1J,Eating Establishment,Restaurant,INDIA VILLAGE RESTAURANT AND CATERING LTD.,370 WILSON ST E  ANCASTER ON,19/09/2018
15 288059 02 1J,Eating Establishment,Restaurant Take-Out,INFINITY PIZZA INC. o/a DOMINOS PIZZA,1440 MAIN ST E  HAMILTON ON,28/09/2018
14 284487 03 1J,Eating Establishment,Restaurant with Liquor Service,INTERACTIVE DINING WAREHOUSE INC O/A THE EXPRESS RESTAURANT,1034 KING ST W  HAMILTON ON L8S 1L5,07/05/2018
14 286201 03 1J,Eating Establishment,Restaurant with Liquor Service,J & A'S BAR,9300 AIRPORT RD UNIT 520 GLANBROOK ON L0R 1W0,27/05/2018
14 245668 03 1J,Eating Establishment,Restaurant,J&A ENTERPRISES O/A SUBWAY SANDWICHES,54 WILSON ST W  ANCASTER ON L9G 1N2,19/01/2019
16 290840 01 1J,Eating Establishment,Restaurant with Liquor Service,JABRONIES BAR,215 KING ST E  HAMILTON ON,09/09/2018
16 291482 00 1J,Eating Establishment,Restaurant with Liquor Service,JACK & LOIS,301 JAMES ST N  HAMILTON ON,10/02/2018
14 280355 03 1J,Eating Establishment,Restaurant,JAI MAK FOODS LTD O/A MCDONALD'S RESTAURANT,10 COOTES DR  DUNDAS ON L9H 1A9,25/10/2018
14 280356 03 1J,Eating Establishment,Restaurant,JAI MAK FOODS LTD O/A MCDONALD'S RESTAURANT,1015 GOLF LINKS RD  ANCASTER ON L9K 1L6,01/10/2018
16 291498 01 1J,Eating Establishment,Restaurant,JAI MAK FOODS LTD O/A MCDONALD'S RESTAURANTS,1175 WILSON ST W  ANCASTER ON,30/11/2018
14 276234 03 1J,Eating Establishment,Restaurant Take-Out,JA-NICE,533 KING ST E  HAMILTON ON,01/10/2018
14 180454 03 1J,Eating Establishment,Restaurant Take-Out,JANKUS HOTELS (S J C) LIMITED O/A ARBY'S,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,12/06/2018
14 286447 03 1J,Eating Establishment,Restaurant,JAX SWEET SHOPPE INC.,33 KING ST W  DUNDAS ON,07/08/2018
17 292822 00 1J,Eating Establishment,Restaurant with Liquor Service,Jaymali Corporation Ltd. o/a barBURRITO,1183 WILSON ST W BLDG C4 ANCASTER ON L9G 0E8,13/09/2018
14 151760 03 1J,Eating Establishment,Restaurant with Liquor Service,JELTA RESTAURANT SERVICES INC. O/A BOSTON PIZZA,1565 UPPER JAMES ST  HAMILTON ON,06/12/2018
13 255871 03 1J,Eating Establishment,Restaurant,JET CAFE,184 KING ST E  HAMILTON ON,21/04/2018
17 292292 00 1J,Eating Establishment,Restaurant,JITTERS CAFE,631 QUEENSTON RD  HAMILTON ON,02/06/2018
14 281600 03 1J,Eating Establishment,Restaurant Take-Out,JJMR TREAT BOX INC O/A DAIRY QUEEN ORANGE JULIUS,2172 RYMAL RD E  GLANBROOK ON,12/07/2018
13 282348 03 1J,Eating Establishment,Restaurant,JK-CA TRADING INC O/A KFC,49 KING ST E  DUNDAS ON L9H 1B7,12/08/2018
