geo_code,,0 to 17 years (%),0 to 5 years (%),18 to 64 years (%),65 years and over (%)
35240545,female,0.0,0.0,1.6,6.3
35240545,male,3.7,0.0,1.7,7.1
35240546,female,29.4,0.0,11.5,11.1
35240546,male,22.2,14.3,8.7,0.0
35240590,female,0.0,0.0,7.7,8.8
35240590,male,7.1,0.0,8.6,12.0
35240591,female,33.3,20.0,13.7,8.7
35240591,male,35.0,28.6,14.7,6.3
35240592,female,38.1,26.7,20.0,8.3
35240592,male,41.5,40.0,16.3,10.5
35240593,female,4.5,0.0,4.8,3.8
35240593,male,5.3,0.0,6.3,0.0
35240594,female,13.6,0.0,7.0,11.1
35240594,male,22.7,16.7,11.1,0.0
35240595,female,23.1,0.0,10.7,7.5
35240595,male,16.7,33.3,8.0,4.3
35240596,female,14.3,0.0,10.9,4.5
35240596,male,22.2,0.0,12.2,1.7
35240598,female,42.9,28.6,14.0,4.3
35240598,male,39.1,22.2,9.3,0.0
35240641,female,0.0,0.0,2.9,0.0
35240641,male,8.3,0.0,2.8,0.0
35240642,female,10.0,0.0,3.7,0.0
35240642,male,10.0,0.0,0.0,0.0
35240643,female,11.1,0.0,2.3,0.0
35240643,male,9.1,0.0,2.4,0.0
35240644,female,20.0,0.0,5.7,0.0
35240644,male,11.1,0.0,3.1,0.0
35240645,female,25.0,0.0,3.2,11.1
35240645,male,20.0,0.0,6.7,0.0
35240647,female,11.1,0.0,2.4,0.0
35240647,male,11.1,0.0,2.8,0.0
35240648,female,20.0,20.0,8.9,0.0
35240648,male,12.5,0.0,4.5,0.0
35240649,female,7.7,0.0,2.4,16.7
35240649,male,0.0,0.0,2.5,0.0
35240650,female,0.0,0.0,2.0,0.0
35240650,male,0.0,0.0,2.1,0.0
35240651,female,10.0,0.0,2.9,0.0
35240651,male,0.0,0.0,3.0,0.0
35240654,female,5.3,33.3,5.3,0.0
35240654,male,5.6,0.0,2.5,0.0
35240655,female,4.3,0.0,6.3,2.2
35240655,male,0.0,0.0,3.3,2.5
35240656,female,0.0,0.0,3.7,0.0
35240656,male,0.0,0.0,0.0,0.0
35240659,female,39.1,42.9,19.7,11.1
35240659,male,40.9,60.0,13.0,16.7
35240660,female,8.3,0.0,9.3,0.0
35240660,male,8.3,0.0,5.7,0.0
35240661,female,0.0,0.0,0.0,16.7
35240661,male,0.0,0.0,3.1,0.0
35240662,female,9.5,14.3,6.6,5.2
35240662,male,8.7,0.0,6.5,2.2
35240663,female,8.3,33.3,2.6,0.0
35240663,male,11.1,0.0,3.1,0.0
35240664,female,0.0,0.0,2.5,0.0
35240664,male,0.0,0.0,2.8,0.0
35240665,female,0.0,0.0,3.3,0.0
35240665,male,7.7,33.3,3.4,0.0
35240666,female,5.6,0.0,5.6,5.9
35240666,male,13.3,0.0,7.1,0.0
35240667,female,0.0,0.0,4.2,0.0
35240667,male,0.0,0.0,0.0,0.0
35240668,female,8.3,0.0,8.3,0.0
35240668,male,18.8,0.0,6.5,50.0
35240669,female,9.4,8.3,4.3,0.0
35240669,male,5.0,7.7,3.0,0.0
35240670,female,5.0,0.0,2.3,0.0
35240670,male,8.3,0.0,2.4,0.0
35240671,female,5.6,0.0,4.8,0.0
35240671,male,4.3,20.0,5.0,0.0
35240672,female,5.9,0.0,1.8,0.0
35240672,male,3.4,0.0,1.9,0.0
35240673,female,9.1,0.0,6.3,0.0
35240673,male,13.3,0.0,3.4,0.0
35240674,female,3.1,0.0,2.1,0.0
35240674,male,6.5,0.0,2.3,0.0
35240675,female,5.3,0.0,4.2,0.0
35240675,male,2.4,0.0,1.5,0.0
35240676,female,7.1,0.0,8.8,0.0
35240676,male,3.8,0.0,6.5,20.0
35240677,female,6.7,0.0,0.0,33.3
35240677,male,0.0,0.0,0.0,0.0
35240678,female,3.6,0.0,7.2,2.8
35240678,male,8.0,0.0,6.2,0.0
35240679,female,5.0,0.0,6.3,0.0
35240679,male,7.7,0.0,4.7,0.0
35240680,female,17.6,0.0,11.2,11.1
35240680,male,15.0,0.0,6.3,0.0
35240681,female,6.7,0.0,2.6,0.0
35240681,male,6.3,0.0,3.0,0.0
35240682,female,5.3,0.0,6.1,0.0
35240682,male,5.6,16.7,2.3,0.0
35240683,female,0.0,0.0,2.2,0.0
35240683,male,4.8,0.0,0.0,12.5
35240684,female,50.0,0.0,6.5,12.5
35240684,male,0.0,0.0,5.1,0.0
35240685,female,11.4,6.7,6.2,0.0
35240685,male,7.0,7.1,4.2,0.0
35240686,female,4.3,0.0,3.9,20.0
35240686,male,4.3,10.0,1.4,25.0
35240756,female,0.0,0.0,4.9,0.0
35240756,male,7.1,12.5,5.1,0.0
35240757,female,4.3,0.0,2.3,0.0
35240757,male,4.3,0.0,0.0,0.0
35240758,female,8.3,0.0,4.7,6.3
35240758,male,11.1,0.0,3.5,0.0
35240759,female,0.0,0.0,3.3,0.0
35240759,male,0.0,0.0,0.0,0.0
35240780,female,9.1,0.0,2.7,0.0
35240780,male,0.0,12.5,1.6,0.0
35240782,female,10.0,0.0,5.9,12.5
35240782,male,8.7,20.0,4.2,0.0
35240783,female,16.7,0.0,4.5,0.0
35240783,male,0.0,100.0,0.0,0.0
35240785,female,4.8,0.0,1.6,0.0
35240785,male,4.2,0.0,3.7,0.0
35240807,female,20.0,0.0,10.6,9.5
35240807,male,16.7,66.7,15.1,5.6
35240808,female,100.0,...,2.8,3.2
35240808,male,0.0,0.0,10.3,2.4
35240809,female,x,x,x,x
35240809,male,x,x,x,x
35240898,female,4.1,4.8,3.1,0.0
35240898,male,4.9,0.0,2.6,6.3
35240903,female,x,x,x,x
35240903,male,x,x,x,x
35240904,female,6.3,0.0,3.1,4.0
35240904,male,7.4,10.0,3.1,0.0
35250030,female,0.0,0.0,0.0,0.0
35250030,male,14.3,0.0,3.7,14.3
