geo_code,,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
35240446,female,95,60,0,20,0,20,0
35240446,male,90,50,0,25,0,0,0
35240447,female,85,110,0,60,0,10,0
35240447,male,60,75,10,30,0,30,0
35240448,female,65,60,10,65,0,10,10
35240448,male,55,50,0,75,0,10,0
35240449,female,25,40,0,30,0,0,0
35240449,male,20,30,0,30,0,0,0
35240450,female,60,85,0,35,10,10,0
35240450,male,85,35,10,40,0,10,0
35240451,female,55,95,0,65,0,15,0
35240451,male,50,45,0,35,10,20,0
35240452,female,45,35,10,30,0,10,0
35240452,male,35,35,10,20,0,0,0
35240453,female,75,45,10,45,0,0,0
35240453,male,75,75,0,10,0,20,0
35240455,female,110,110,10,30,0,0,0
35240455,male,75,65,10,10,0,0,0
35240459,female,35,25,0,30,0,15,0
35240459,male,35,40,0,45,0,10,0
35240460,female,50,50,15,15,0,30,0
35240460,male,60,50,0,20,0,15,0
35240461,female,45,45,0,40,0,25,0
35240461,male,50,50,0,35,0,15,0
35240462,female,75,40,10,45,0,25,0
35240462,male,25,10,15,45,10,15,15
35240463,female,75,120,0,50,0,0,0
35240463,male,70,90,0,70,0,15,10
35240464,female,40,35,10,35,0,15,0
35240464,male,25,20,0,30,0,0,10
35240465,female,130,135,20,60,0,15,0
35240465,male,100,60,10,45,0,10,0
35240466,female,95,115,0,65,0,10,10
35240466,male,70,55,10,50,0,10,0
35240467,female,75,65,0,80,0,25,0
35240467,male,55,40,0,65,0,10,0
35240468,female,40,25,15,70,10,25,10
35240468,male,65,30,0,55,10,30,0
35240469,female,60,95,10,50,0,10,0
35240469,male,35,35,0,20,0,15,0
35240470,female,15,65,10,70,10,20,10
35240470,male,30,15,10,75,15,40,10
35240471,female,50,15,10,55,0,10,0
35240471,male,30,20,0,95,15,10,0
35240472,female,105,70,10,110,0,30,0
35240472,male,50,20,25,125,0,15,0
35240473,female,50,40,0,80,10,10,0
35240473,male,15,45,0,50,0,25,0
35240474,female,60,50,0,80,0,30,0
35240474,male,70,55,0,55,10,30,10
35240475,female,40,85,15,65,0,10,0
35240475,male,50,45,10,85,10,15,0
35240476,female,45,65,10,70,10,10,10
35240476,male,55,40,0,55,10,25,0
35240477,female,55,65,0,75,10,20,0
35240477,male,30,45,15,40,15,45,10
35240478,female,35,70,10,30,0,10,0
35240478,male,35,35,10,25,0,10,0
35240479,female,70,50,0,20,0,10,0
35240479,male,35,15,0,25,0,15,0
35240480,female,110,90,10,65,0,0,0
35240480,male,115,45,10,40,0,15,0
35240481,female,80,55,10,30,0,0,0
35240481,male,70,20,10,40,0,10,0
35240482,female,115,120,10,70,0,10,10
35240482,male,60,90,15,45,0,20,0
35240483,female,45,60,0,55,0,20,0
35240483,male,90,40,0,30,0,15,0
35240484,female,115,105,10,150,0,15,0
35240484,male,80,95,0,100,10,40,0
35240485,female,55,45,15,45,0,0,0
35240485,male,30,40,10,25,0,0,0
35240486,female,50,75,20,75,10,20,0
35240486,male,60,80,0,65,0,20,0
35240487,female,30,20,10,15,0,10,0
35240487,male,45,25,0,10,0,0,0
35240488,female,110,140,25,115,0,35,10
35240488,male,165,135,10,55,0,25,10
35240489,female,65,65,0,40,0,20,0
35240489,male,40,45,0,55,0,0,0
35240490,female,35,30,0,25,0,10,0
35240490,male,25,40,0,10,0,0,0
