,geo_code,married,common_law,not_married_or_common_law,never_married,separated,divorced,widowed
591,35250412,110,20,380,130,35,120,100
592,35250413,185,65,240,170,10,25,30
593,35250416,165,50,235,155,20,40,25
594,35250417,110,55,360,165,30,70,95
595,35250418,125,45,315,230,20,45,25
596,35250419,185,65,475,275,25,65,105
597,35250420,300,70,515,370,25,75,45
598,35250421,150,85,360,225,25,65,40
599,35250422,95,65,540,235,60,175,75
600,35250423,140,85,400,265,30,75,30
601,35250424,115,55,375,240,25,70,40
602,35250425,150,85,515,350,40,75,45
603,35250426,150,50,280,155,10,50,65
604,35250427,75,50,185,135,15,25,15
605,35250428,135,40,325,225,30,45,20
606,35250429,100,40,170,100,25,30,10
607,35250430,65,85,265,190,15,45,10
608,35250431,105,85,270,180,30,50,20
609,35250434,265,140,845,610,50,110,70
610,35250435,90,55,250,165,20,40,20
611,35250436,95,60,300,170,30,75,20
612,35250437,80,50,300,200,25,60,15
613,35250438,70,30,185,110,20,40,10
614,35250439,160,65,275,195,15,45,15
615,35250440,130,80,380,250,20,80,25
616,35250441,145,95,265,185,25,45,20
617,35250442,210,40,285,180,25,55,30
618,35250443,195,20,190,135,10,25,20
619,35250444,135,35,310,130,30,95,55
620,35250445,145,40,150,100,15,25,10
621,35250446,170,60,230,150,25,45,15
622,35250447,80,50,235,145,25,40,25
623,35250448,145,90,385,270,40,60,15
624,35250449,60,40,255,180,25,40,5
625,35250450,140,55,255,165,15,55,25
626,35250451,50,30,125,75,10,30,10
627,35250452,80,50,175,110,15,35,15
628,35250453,95,35,235,170,15,45,10
629,35250454,145,95,340,215,30,75,25
630,35250455,75,95,420,250,45,90,40
631,35250456,110,70,335,155,40,95,40
632,35250457,x,x,x,x,x,x,x
633,35250458,85,35,250,130,25,60,35
634,35250459,135,85,400,250,30,60,55
635,35250460,80,30,170,110,10,35,15
636,35250461,120,45,180,130,15,25,10
637,35250462,120,35,155,105,15,20,20
638,35250463,100,50,200,135,20,25,15
639,35250464,65,55,175,115,10,30,20
640,35250465,100,95,295,240,15,25,10
641,35250466,100,50,240,180,15,35,10
642,35250467,160,45,510,260,60,130,60
643,35250468,105,60,365,200,35,55,75
644,35250471,130,30,200,135,20,30,15
645,35250472,115,40,245,165,20,35,25
