,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
237,35240672,0,0,0,20,140,95,0
238,35240673,0,0,0,10,120,20,0
239,35240674,10,0,0,0,165,65,10
240,35240675,0,0,0,25,305,30,0
241,35240676,10,0,0,10,205,40,120
242,35240677,0,0,0,0,125,15,0
243,35240678,10,10,10,180,105,210,185
244,35240679,0,0,10,115,115,20,10
245,35240680,10,0,0,165,130,20,220
246,35240681,0,0,0,0,120,45,70
247,35240682,0,0,10,140,100,20,0
248,35240683,0,10,0,120,90,20,0
249,35240684,0,0,15,180,170,50,0
250,35240685,0,0,0,90,185,90,60
251,35240686,0,0,0,95,220,25,0
252,35240756,0,10,0,15,140,50,0
253,35240757,0,0,0,115,65,15,0
254,35240758,0,0,0,75,230,35,0
255,35240759,0,0,0,120,95,0,0
256,35240780,0,0,0,10,120,230,0
257,35240782,0,0,15,180,45,0,25
258,35240783,0,10,45,70,10,0,0
259,35240785,0,0,95,120,35,20,15
260,35240807,95,165,90,65,20,10,0
261,35240808,70,130,225,35,90,10,0
262,35240809,15,0,0,0,0,0,10
263,35240898,0,0,145,520,280,20,0
264,35240903,x,x,x,x,x,x,x
265,35240904,35,180,50,15,140,135,0
266,35250030,90,45,10,0,0,10,0
267,35250031,100,30,15,20,0,10,0
268,35250032,105,35,40,40,15,0,0
269,35250033,10,70,125,0,0,0,0
270,35250034,155,95,20,10,0,0,0
271,35250035,115,50,0,0,10,0,0
272,35250036,105,45,55,15,0,0,15
273,35250037,155,85,0,0,0,10,0
274,35250038,210,120,30,55,0,0,0
275,35250039,125,135,30,10,0,10,0
276,35250040,25,40,40,110,0,0,0
277,35250041,135,75,10,15,15,0,0
278,35250042,85,15,10,0,0,0,0
279,35250043,205,65,0,0,0,0,0
280,35250044,120,20,0,0,0,10,0
281,35250045,85,120,10,10,0,0,0
282,35250046,110,70,10,10,10,0,0
283,35250047,95,130,30,0,0,0,0
284,35250048,10,90,0,0,0,0,0
285,35250049,50,105,0,0,0,0,0
286,35250050,15,115,0,0,0,15,15
287,35250051,40,305,35,145,0,0,0
288,35250052,0,125,0,0,0,0,0
289,35250053,75,85,60,35,0,10,0
290,35250054,10,115,15,0,0,0,0
291,35250055,0,0,95,195,10,0,0
292,35250056,0,0,55,15,0,0,0
293,35250059,30,25,15,155,40,75,45
294,35250060,0,20,125,75,20,10,10
295,35250061,0,25,95,25,0,0,0
296,35250062,60,45,35,20,45,0,0
297,35250064,120,70,70,30,0,0,0
298,35250065,0,10,145,20,0,0,0
299,35250066,80,15,40,0,0,0,0
300,35250067,65,50,60,25,0,0,0
301,35250070,70,55,35,10,0,10,10
302,35250073,0,55,85,10,0,0,0
303,35250074,0,35,75,0,0,0,0
304,35250075,0,55,85,0,0,0,0
305,35250077,10,30,135,15,0,0,0
306,35250078,0,30,85,15,0,0,0
307,35250079,0,70,35,0,0,0,0
308,35250080,20,105,55,25,0,0,15
309,35250081,15,175,150,45,0,0,0
310,35250082,10,35,40,10,0,0,0
311,35250083,20,115,30,15,0,0,45
312,35250084,10,85,10,10,0,0,0
313,35250085,15,80,0,0,0,0,0
314,35250086,0,135,25,0,0,0,0
315,35250087,0,150,20,10,0,10,0
316,35250088,0,150,10,0,0,0,0
317,35250089,40,235,20,10,0,0,0
318,35250093,10,170,15,15,0,0,0
319,35250094,0,25,75,30,0,0,0
320,35250095,0,120,45,10,0,0,0
