,geo_code,owner,renter,band housing
1148,35260321,95,270,0
1149,35260322,135,90,0
1150,35260323,165,65,0
1151,35260324,205,90,0
1152,35260325,110,125,0
1153,35260326,190,10,0
1154,35260327,125,10,0
1155,35260328,130,0,0
1156,35260330,180,10,0
1157,35260332,150,20,0
1158,35260333,180,40,0
1159,35260334,140,20,0
1160,35260335,550,90,0
1161,35260336,510,40,0
1162,35260337,125,0,0
1163,35260338,580,125,0
1164,35260339,190,30,0
1165,35260340,380,25,0
1166,35260341,180,35,0
1167,35260342,155,25,0
1168,35260734,515,35,0
1169,35260828,195,25,0
1170,35260829,170,30,0
1171,35260830,320,15,0
1172,35260831,145,0,0
1173,35260832,295,0,0
1174,35260833,225,10,0
