,geo_code,In Labour Force (F),Not in Labour Force (F),Employed (F),Unemployed (F)
266,35240470,140,85,140,0
268,35240471,120,65,110,0
270,35240472,205,150,200,0
272,35240473,140,65,125,10
274,35240474,155,115,150,0
276,35240475,190,75,190,10
278,35240476,145,85,140,10
280,35240477,160,115,155,0
282,35240478,115,45,105,10
284,35240479,80,120,75,0
286,35240480,195,165,190,10
288,35240481,100,110,100,0
290,35240482,210,135,205,10
292,35240483,160,90,155,0
294,35240484,355,110,330,25
296,35240485,95,80,80,10
298,35240486,170,85,150,20
300,35240487,55,40,55,0
302,35240488,445,85,430,15
304,35240489,135,85,120,15
306,35240490,65,50,55,10
308,35240491,160,75,140,20
310,35240492,180,95,175,10
312,35240493,115,265,115,0
314,35240494,145,65,130,10
316,35240495,145,135,130,15
318,35240496,100,95,95,10
320,35240497,150,75,145,10
322,35240498,85,100,85,0
324,35240499,105,35,95,10
326,35240501,80,35,80,0
328,35240503,130,80,120,10
330,35240504,140,65,135,0
332,35240505,160,90,150,10
334,35240506,115,65,105,10
336,35240507,140,80,135,0
338,35240508,175,95,160,20
340,35240509,180,80,170,15
342,35240512,90,75,90,0
344,35240513,135,80,130,0
346,35240516,165,110,155,10
348,35240517,125,80,115,0
350,35240518,195,95,200,0
352,35240519,100,55,100,0
354,35240520,220,125,210,10
356,35240521,155,105,145,10
358,35240522,95,70,90,0
360,35240523,105,115,105,0
362,35240524,135,120,135,0
364,35240525,185,80,170,15
366,35240526,65,55,70,0
368,35240528,120,30,115,0
370,35240529,140,40,140,10
372,35240530,155,60,140,10
374,35240531,155,40,150,10
376,35240532,410,115,385,25
378,35240533,125,20,110,20
380,35240534,135,35,115,15
382,35240535,115,45,115,0
384,35240536,205,140,200,10
386,35240537,225,45,225,0
388,35240538,370,120,340,30
390,35240539,275,120,250,25
392,35240540,140,70,130,10
394,35240541,120,50,105,15
396,35240542,145,125,140,0
398,35240543,150,90,150,0
400,35240544,145,90,135,10
402,35240545,275,100,260,15
404,35240546,205,80,180,20
406,35240590,310,235,295,15
408,35240591,340,145,300,40
410,35240592,500,365,440,60
412,35240593,325,165,315,15
414,35240594,235,95,215,20
416,35240595,265,255,255,10
418,35240596,220,520,210,15
420,35240598,570,590,525,40
422,35240641,135,75,120,10
424,35240642,130,80,130,0
426,35240643,160,95,160,0
428,35240644,155,105,150,10
430,35240645,90,65,85,0
432,35240647,165,100,160,10
434,35240648,280,65,265,15
436,35240649,235,70,220,10
438,35240650,230,110,225,10
440,35240651,150,65,150,0
442,35240654,160,90,155,0
444,35240655,260,325,250,15
446,35240656,100,50,90,10
448,35240659,270,130,255,20
450,35240660,190,70,180,15
452,35240661,135,55,130,10
454,35240662,515,360,495,15
456,35240663,170,65,160,10
458,35240664,135,160,125,10
460,35240665,135,95,120,10
462,35240666,300,155,275,20
464,35240667,215,70,215,0
466,35240668,165,30,155,0
468,35240669,295,75,290,10
470,35240670,180,65,180,0
472,35240671,170,55,165,10
474,35240672,265,85,260,10
476,35240673,110,60,110,10
478,35240674,200,65,190,10
480,35240675,340,125,320,20
482,35240676,300,95,290,15
484,35240677,115,45,110,10
486,35240678,425,300,390,30
488,35240679,180,75,180,0
490,35240680,395,100,370,25
492,35240681,160,100,150,10
494,35240682,215,100,210,0
496,35240683,245,45,230,15
498,35240684,235,105,215,20
500,35240685,345,130,325,25
502,35240686,375,75,345,30
504,35240756,215,60,190,25
506,35240757,160,50,155,10
508,35240758,280,180,255,25
510,35240759,140,120,130,10
512,35240780,285,145,275,10
514,35240782,200,100,195,10
516,35240783,105,55,100,10
518,35240785,250,105,230,20
520,35240807,260,180,245,10
522,35240808,165,315,150,10
524,35240809,10,20,0,0
526,35240898,845,245,775,70
528,35240903,0,0,0,0
530,35240904,425,200,385,40
532,35250030,105,70,95,10
534,35250031,110,65,110,10
536,35250032,150,95,145,0
538,35250033,140,85,130,10
540,35250034,220,80,205,20
542,35250035,125,70,120,0
544,35250036,140,90,140,0
546,35250037,120,100,120,10
548,35250038,165,195,155,0
550,35250039,125,140,125,0
552,35250040,90,150,90,10
554,35250041,120,115,110,10
556,35250042,70,20,60,10
558,35250043,155,130,140,15
560,35250044,80,80,85,0
562,35250045,120,65,105,15
564,35250046,135,90,120,20
566,35250047,135,140,130,0
568,35250048,65,50,60,0
570,35250049,110,55,110,0
572,35250050,145,65,135,15
574,35250051,340,280,330,10
576,35250052,70,65,65,0
578,35250053,160,110,165,0
580,35250054,90,90,85,0
582,35250055,205,110,205,0
584,35250056,55,40,50,10
586,35250059,345,155,315,35
588,35250060,170,130,165,0
590,35250061,90,100,85,10
592,35250062,160,85,140,15
594,35250064,195,145,190,15
596,35250065,155,60,150,0
598,35250066,110,70,105,0
600,35250067,165,105,145,20
602,35250070,100,95,95,0
604,35250073,145,60,140,10
606,35250074,70,60,60,10
608,35250075,105,60,100,10
610,35250077,160,135,150,0
612,35250078,110,60,110,0
614,35250079,50,55,45,0
616,35250080,145,140,140,0
618,35250081,305,165,280,25
620,35250082,45,65,50,0
622,35250083,140,175,120,20
624,35250084,75,60,60,10
626,35250085,80,55,75,10
628,35250086,115,65,110,10
630,35250087,100,110,90,10
632,35250088,100,90,95,0
634,35250089,145,140,145,0
636,35250093,135,105,125,10
638,35250094,90,85,85,15
640,35250095,115,90,95,25
642,35250096,170,75,160,15
644,35250097,70,80,75,0
646,35250098,45,55,40,10
648,35250099,195,165,190,10
650,35250100,135,90,130,10
652,35250101,105,95,105,0
654,35250102,55,55,60,0
656,35250105,120,130,120,0
658,35250106,100,110,100,0
660,35250107,145,90,140,10
662,35250108,85,110,75,10
664,35250109,165,125,155,10
666,35250110,130,105,120,0
668,35250111,100,250,95,0
670,35250112,80,105,70,10
672,35250113,75,50,65,10
674,35250114,90,65,75,15
676,35250115,405,235,365,35
678,35250116,230,95,215,15
680,35250117,55,40,55,0
682,35250118,115,65,110,0
684,35250119,120,80,120,0
686,35250120,140,40,125,15
688,35250121,165,90,160,0
690,35250122,85,55,80,0
692,35250123,85,65,75,10
694,35250124,125,75,110,20
696,35250125,95,60,90,10
698,35250126,160,105,125,35
700,35250127,445,220,410,35
702,35250128,150,60,130,25
704,35250129,95,60,95,10
706,35250130,105,60,100,0
708,35250133,0,210,0,0
710,35250134,185,145,170,10
712,35250135,510,240,455,50
714,35250136,105,40,105,10
716,35250137,100,60,100,0
718,35250144,420,200,405,15
720,35250145,135,50,125,10
722,35250146,180,145,175,10
724,35250147,105,70,95,15
726,35250148,140,75,135,10
728,35250149,140,85,135,10
730,35250150,125,105,120,0
732,35250151,110,65,105,0
734,35250152,325,310,310,10
736,35250153,130,120,130,0
738,35250156,90,65,90,10
740,35250158,115,75,115,0
742,35250159,100,80,95,0
744,35250160,95,80,95,10
746,35250161,170,95,160,10
748,35250162,130,55,125,0
750,35250163,110,135,110,0
752,35250164,100,155,100,0
754,35250172,100,105,100,0
756,35250173,360,125,350,10
758,35250175,405,180,400,0
760,35250176,170,110,160,15
762,35250177,205,130,170,35
764,35250178,140,135,130,10
766,35250179,195,70,185,10
768,35250180,420,200,390,30
770,35250181,140,60,135,10
772,35250183,60,30,60,0
774,35250184,125,30,125,0
776,35250185,105,50,105,0
778,35250186,75,65,75,0
780,35250188,220,105,210,15
782,35250189,175,80,180,0
784,35250190,80,85,80,0
786,35250191,215,115,205,15
788,35250192,430,155,385,45
790,35250193,90,65,80,10
792,35250194,110,55,105,10
794,35250196,130,65,120,15
796,35250197,105,95,100,0
798,35250199,760,475,665,100
800,35250200,180,100,150,30
802,35250201,50,70,40,10
804,35250202,210,215,200,15
806,35250203,260,210,230,25
808,35250204,195,210,165,35
810,35250205,65,30,65,0
812,35250206,145,120,130,15
814,35250207,85,45,80,0
816,35250208,115,75,105,10
818,35250209,85,95,80,0
820,35250210,130,110,120,10
822,35250211,50,130,40,10
824,35250212,95,100,85,10
826,35250213,65,100,60,10
828,35250216,85,105,75,10
830,35250217,155,115,130,20
832,35250218,135,85,125,10
834,35250221,105,120,90,10
836,35250222,110,110,95,10
838,35250223,100,100,90,10
840,35250224,60,90,55,10
842,35250225,80,80,80,0
844,35250226,125,175,120,0
846,35250227,150,95,135,10
848,35250230,105,105,80,25
850,35250231,130,195,110,15
852,35250232,125,210,110,15
854,35250233,115,165,115,0
856,35250234,110,55,105,10
858,35250238,130,160,115,20
860,35250239,60,105,45,20
862,35250240,100,160,95,10
864,35250241,85,55,80,10
866,35250242,0,0,0,0
868,35250243,200,305,185,20
870,35250248,235,175,215,15
872,35250249,60,180,55,0
874,35250250,95,105,90,10
876,35250251,95,55,85,10
878,35250254,175,140,165,10
880,35250255,105,95,90,15
882,35250256,145,175,145,0
884,35250257,120,185,115,10
886,35250258,150,245,130,15
888,35250259,115,105,105,10
890,35250260,115,215,105,10
892,35250261,100,165,95,0
894,35250262,145,190,135,10
896,35250263,240,165,225,20
898,35250264,95,80,80,20
900,35250265,95,105,95,0
902,35250266,75,95,65,10
904,35250267,160,65,160,0
906,35250269,40,45,35,0
908,35250270,100,55,95,10
910,35250271,90,50,85,10
912,35250272,45,165,45,0
914,35250273,85,90,70,10
916,35250274,270,135,265,10
918,35250275,100,100,100,0
920,35250276,155,120,145,15
922,35250277,85,120,75,15
924,35250278,110,70,110,0
926,35250279,155,150,130,30
928,35250280,125,65,115,10
930,35250281,115,90,100,10
932,35250282,135,115,125,0
934,35250283,160,125,145,10
936,35250284,80,95,70,10
938,35250285,195,145,185,10
940,35250286,75,95,65,10
942,35250287,185,120,185,0
944,35250288,105,80,100,10
