,geo_code,In Labour Force (F),Not in Labour Force (F),Employed (F),Unemployed (F)
1916,35250832,90,90,75,15
1918,35250833,105,55,105,0
1920,35250834,145,55,135,10
1922,35250835,90,90,90,0
1924,35250836,110,60,110,0
1926,35250843,300,200,265,35
1928,35250845,245,450,210,40
1930,35250846,155,405,125,25
1932,35250847,100,150,105,0
1934,35250848,245,150,225,25
1936,35250849,320,150,305,15
1938,35250850,280,210,240,35
1940,35250851,435,560,400,35
1942,35250852,505,400,440,65
1944,35250853,225,280,190,35
1946,35250854,250,225,225,25
1948,35250855,270,195,250,20
1950,35250857,160,75,145,20
1952,35250859,175,165,155,15
1954,35250860,495,280,440,55
1956,35250861,155,70,150,10
1958,35250862,140,95,130,15
1960,35250863,105,45,90,10
1962,35250864,150,70,145,10
1964,35250865,145,75,135,10
1966,35250866,150,85,140,0
1968,35250867,165,55,155,15
1970,35250868,90,65,80,10
1972,35250869,155,60,145,10
1974,35250870,190,120,195,0
1976,35250871,150,80,145,10
1978,35250872,190,110,180,0
1980,35250873,200,75,190,10
1982,35250874,195,75,195,0
1984,35250875,185,90,185,0
1986,35250876,130,35,125,0
1988,35250877,95,105,90,10
1990,35250878,120,85,120,0
1992,35250879,195,95,190,10
1994,35250880,155,80,150,0
1996,35250881,180,95,160,20
1998,35250882,240,120,240,0
2000,35250883,215,30,195,20
2002,35250884,215,40,200,10
2004,35250885,155,40,150,0
2006,35250886,160,60,155,10
2008,35250887,215,85,215,0
2010,35250888,170,65,150,20
2012,35250889,175,45,175,0
2014,35250890,160,30,155,10
2016,35250891,140,40,140,0
2018,35250892,815,235,795,20
2020,35250893,175,60,175,0
2022,35250894,140,55,135,10
2024,35250895,190,70,180,10
2026,35250896,145,55,135,10
2028,35250897,170,70,155,20
2030,35250898,120,70,120,0
2032,35250899,110,45,100,10
2034,35250900,105,25,100,0
2036,35250901,145,65,130,10
2038,35250902,165,60,160,0
2040,35250903,125,135,125,0
2042,35250904,190,85,185,10
2044,35250905,155,75,155,10
2046,35250906,150,45,150,0
2048,35250907,100,80,95,0
2050,35250908,150,70,145,10
2052,35250909,465,235,430,30
2054,35250910,425,205,385,35
2056,35250911,195,90,180,10
2058,35250912,165,105,145,15
2060,35250913,155,170,155,0
2062,35250914,95,115,90,10
2064,35250918,190,885,190,10
2066,35250919,200,75,195,10
2068,35250920,355,195,340,10
2070,35250921,200,120,185,15
2072,35250922,180,110,175,0
2074,35250923,175,65,175,0
2076,35250924,130,50,130,0
2078,35250925,145,115,140,0
2080,35250928,110,75,110,0
2082,35250929,155,100,140,15
2084,35250930,185,80,180,0
2086,35250931,205,100,175,30
2088,35250932,80,160,75,0
2090,35250933,130,55,120,10
2092,35250934,115,60,110,0
2094,35250935,155,325,155,0
2096,35250936,155,50,145,10
2098,35250937,240,185,230,15
2100,35250938,230,100,205,20
2102,35250939,140,120,140,0
2104,35250940,130,75,135,0
2106,35250941,160,145,160,10
2108,35250942,100,90,100,10
2110,35250943,265,120,260,10
2112,35250944,155,65,155,0
2114,35250945,205,55,205,0
2116,35250946,105,120,100,10
2118,35250947,200,95,195,0
2120,35250948,395,185,360,30
2122,35250949,110,60,105,0
2124,35250950,170,10,170,0
2126,35250951,190,50,180,10
2128,35250952,645,160,620,25
2130,35250953,95,75,80,15
2132,35250954,100,70,95,10
2134,35250955,50,105,50,10
2136,35250956,55,260,50,10
2138,35250957,140,90,125,15
2140,35250958,115,60,105,10
2142,35250959,135,70,125,15
2144,35250960,80,50,70,10
2146,35250961,115,100,105,15
2148,35250962,165,85,140,25
2150,35250963,730,590,670,60
2152,35250964,170,130,170,0
2154,35250965,85,75,80,10
2156,35250966,0,0,0,0
2158,35250967,135,70,125,10
2160,35250968,150,70,125,25
2162,35250969,155,70,125,25
2164,35250970,125,100,115,15
2166,35250971,130,65,130,0
2168,35250972,115,55,115,0
2170,35250973,100,85,100,10
2172,35250974,120,55,105,10
2174,35250975,85,100,80,0
2176,35250976,65,50,60,0
2178,35250978,675,230,635,40
2180,35250980,85,50,80,10
2182,35250981,630,300,610,20
2184,35250982,0,200,0,0
2186,35250983,140,55,135,10
2188,35250985,335,140,320,10
2190,35250986,390,220,370,20
2192,35250987,190,105,185,10
2194,35250988,270,205,260,10
2196,35250989,340,160,320,20
2198,35250990,160,105,150,10
2200,35250991,120,145,120,0
2202,35250992,110,60,110,0
2204,35250993,30,55,30,0
2206,35250994,300,145,265,35
2208,35250995,395,510,365,30
2210,35250996,335,140,320,15
2212,35250997,130,420,130,0
2214,35250998,135,90,135,0
2216,35250999,235,230,210,25
2218,35251000,85,60,85,0
2220,35251001,125,85,115,0
2222,35251002,200,70,195,0
2224,35251003,120,55,110,10
2226,35251004,205,65,200,10
2228,35251005,230,130,225,0
2230,35251006,190,150,180,15
2232,35251007,255,95,250,0
2234,35251008,145,70,130,20
2236,35251009,260,90,245,15
2238,35251010,180,45,170,0
2240,35251011,205,70,195,10
2242,35251012,200,65,190,10
2244,35251013,290,80,275,10
2246,35251014,105,55,95,10
2248,35251015,220,90,205,15
2250,35251016,160,70,155,0
2252,35251017,150,55,145,0
2254,35251018,220,125,200,20
2256,35251019,135,35,130,0
2258,35251020,260,110,250,10
2260,35251021,235,65,230,0
2262,35251022,525,235,485,40
2264,35251023,250,90,235,15
2266,35251024,295,105,295,0
2268,35251025,155,180,135,20
2270,35251026,180,100,170,0
2272,35260307,255,85,245,0
2274,35260309,400,185,395,0
2276,35260310,130,50,125,10
2278,35260311,235,205,220,10
2280,35260313,150,90,150,0
2282,35260314,110,135,105,0
2284,35260315,100,60,100,0
2286,35260316,120,95,105,10
2288,35260317,125,85,115,10
2290,35260318,140,75,135,10
2292,35260319,105,70,105,0
2294,35260320,130,75,120,10
2296,35260321,145,115,140,0
2298,35260322,130,80,125,0
2300,35260323,120,100,100,20
2302,35260324,175,125,175,0
2304,35260325,85,130,80,0
2306,35260326,115,120,110,10
2308,35260327,80,70,75,10
2310,35260328,80,55,80,10
2312,35260330,135,100,130,0
2314,35260332,150,70,155,0
2316,35260333,175,80,170,0
2318,35260334,130,50,125,0
2320,35260335,485,205,450,35
2322,35260336,420,190,415,10
2324,35260337,110,65,100,0
2326,35260338,525,190,500,25
2328,35260339,185,50,185,0
2330,35260340,300,135,285,20
2332,35260341,120,120,120,0
2334,35260342,125,80,120,10
2336,35260734,365,265,350,15
2338,35260828,100,120,100,0
2340,35260829,150,70,145,10
2342,35260830,235,155,220,10
2344,35260831,145,45,135,10
2346,35260832,210,115,205,10
2348,35260833,175,115,145,30
