geo_code,1 person,2 persons,3 persons,4 persons,5 or more persons
35250876,10,50,25,30,20
35250877,20,65,25,35,25
35250878,25,60,30,35,20
35250879,85,100,55,30,20
35250880,80,95,35,20,15
35250881,125,95,45,15,15
35250882,80,95,60,70,25
35250883,20,60,50,60,15
35250884,10,40,40,60,20
35250885,10,35,30,65,20
35250886,10,45,35,55,20
35250887,20,55,50,75,25
35250888,10,60,30,55,20
35250889,30,50,40,55,20
35250890,15,25,35,55,10
35250891,5,30,35,55,20
35250892,120,325,220,220,85
35250893,25,55,40,50,25
35250894,25,60,45,30,15
35250895,30,80,30,40,30
35250896,30,50,30,35,20
35250897,30,80,30,45,25
35250898,25,75,25,25,25
35250899,20,80,20,25,25
35250900,15,50,30,25,20
35250901,25,75,25,35,25
35250902,30,70,25,25,25
35250903,25,80,35,40,35
35250904,30,75,25,40,35
35250905,55,85,15,30,35
35250906,30,80,30,30,35
35250907,30,55,25,25,30
35250908,25,55,20,25,40
35250909,60,130,115,150,105
35250910,40,100,70,120,75
35250911,10,25,50,80,40
35250912,10,45,40,75,35
35250913,70,70,35,45,30
35250914,40,80,20,35,10
35250918,405,625,60,5,10
35250919,30,75,40,50,30
35250920,45,140,70,105,70
35250921,55,120,40,35,40
35250922,40,80,40,35,40
35250923,15,55,35,40,20
35250924,20,55,30,25,15
35250925,30,85,45,35,20
35250928,20,65,25,35,25
35250929,45,75,35,40,30
35250930,25,90,45,30,35
35250931,30,80,40,45,30
35250932,50,115,20,10,10
35250933,25,65,25,30,25
35250934,20,60,25,35,15
35250935,160,345,25,15,5
35250936,25,75,25,25,20
35250937,65,145,55,60,35
35250938,50,100,30,55,25
35250939,30,90,35,35,25
35250940,30,70,30,20,15
35250941,40,95,45,45,40
35250942,30,65,35,30,20
35250943,50,140,70,60,25
35250944,20,55,35,40,25
35250945,30,65,60,50,20
35250946,75,65,15,30,15
35250947,45,90,50,45,25
35250948,50,115,85,90,80
35250949,15,50,30,45,10
35250950,15,40,35,55,5
35250951,10,45,35,65,25
35250952,115,210,155,180,65
35250953,45,35,25,20,15
35250954,35,45,25,10,30
35250955,15,25,30,25,35
35250956,395,55,15,10,5
35250957,90,70,30,25,15
35250958,95,70,20,15,15
35250959,65,75,35,15,10
35250960,85,50,30,20,20
35250961,55,45,25,25,20
35250962,115,95,50,30,15
35250963,855,520,150,55,30
35250964,90,110,40,20,10
35250965,80,55,15,20,10
35250966,F,F,F,F,F
35250967,25,60,30,35,15
35250968,60,50,30,20,30
35250969,55,65,35,25,25
35250970,85,85,45,20,10
35250971,25,50,20,35,15
35250972,35,40,25,35,20
35250973,35,40,30,30,20
35250974,20,50,30,35,20
35250975,20,75,20,20,20
35250976,15,45,20,15,15
35250978,85,180,135,205,135
35250980,25,50,20,15,20
35250981,50,145,135,175,170
35250982,140,85,0,0,0
35250983,20,50,25,40,15
35250985,30,100,80,100,60
35250986,20,130,95,120,70
35250987,70,75,80,40,20
35250988,50,85,90,65,75
35250989,50,80,70,75,65
35250990,60,70,35,25,35
35250991,50,90,50,30,35
35250992,15,35,35,45,20
35250993,15,15,15,10,5
35250994,70,130,50,90,40
35250995,345,275,110,80,50
35250996,35,125,100,100,50
35250997,195,270,40,50,20
35250998,30,105,30,40,20
35250999,35,160,45,80,40
35251000,15,15,20,35,25
35251001,10,40,45,40,40
35251002,30,45,40,35,20
35251003,20,50,30,30,10
35251004,45,65,35,30,15
35251005,10,70,70,85,45
35251006,35,115,45,75,35
35251007,75,105,70,65,30
35251008,15,55,30,45,5
35251009,55,90,75,60,35
35251010,20,45,50,70,25
35251011,20,50,45,55,30
35251012,15,35,25,55,40
35251013,10,40,60,95,65
35251014,20,30,20,30,25
35251015,30,50,45,70,30
35251016,10,35,20,55,30
35251017,10,20,30,55,30
35251018,20,50,60,85,40
35251019,15,40,15,50,10
35251020,50,95,75,65,50
35251021,40,50,55,60,30
35251022,50,155,110,155,100
35251023,30,80,50,80,55
35251024,50,115,85,90,55
35251025,40,150,70,40,25
35251026,50,90,40,35,20
35260307,25,100,55,65,30
35260309,60,170,75,130,50
35260310,20,50,30,30,20
35260311,90,185,55,35,30
35260313,50,105,35,30,15
35260314,20,90,35,40,15
35260315,45,70,25,30,10
35260316,65,80,40,20,10
35260317,35,70,30,25,15
35260318,35,75,30,25,15
35260319,30,80,20,25,5
35260320,35,50,40,25,15
35260321,215,100,30,20,5
35260322,75,80,30,20,5
35260323,65,90,30,20,20
35260324,90,100,35,45,20
35260325,160,70,15,15,0
35260326,30,80,30,40,20
35260327,10,60,20,25,10
35260328,10,60,15,30,5
35260330,25,65,35,40,20
35260332,25,50,35,25,10
35260333,40,75,30,30,40
35260334,30,60,25,25,25
35260335,120,225,120,125,60
35260336,105,185,105,130,50
35260337,25,50,25,15,10
35260338,165,285,110,100,50
35260339,40,55,40,55,15
35260340,55,130,70,105,40
35260341,35,100,35,45,15
35260342,15,70,30,35,20
35260734,140,205,90,95,40
35260828,75,85,25,35,15
35260829,50,75,45,25,10
35260830,50,125,50,75,35
35260831,10,45,25,40,20
35260832,30,105,45,75,35
35260833,20,80,40,65,40
