geo_code,1 person,2 persons,3 persons,4 persons,5 or more persons
35240392,150,115,35,25,10
35240393,35,95,35,30,20
35240394,40,80,30,25,10
35240395,55,85,40,30,20
35240396,15,65,25,25,5
35240397,595,670,110,50,30
35240398,155,130,30,20,10
35240399,25,85,35,35,25
35240400,115,185,105,105,45
35240401,80,125,70,40,15
35240402,25,50,40,30,15
35240403,20,50,25,25,20
35240404,35,115,35,40,25
35240405,100,135,40,45,15
35240406,25,50,30,25,10
35240409,10,55,55,40,30
35240410,25,35,25,30,5
35240411,35,85,50,30,15
35240412,20,55,30,25,25
35240413,20,70,25,35,15
35240414,50,80,20,20,15
35240417,160,135,40,10,5
35240420,70,85,30,30,10
35240421,85,65,20,15,5
35240422,210,110,25,10,5
35240423,285,120,10,10,0
35240425,65,65,30,25,10
35240427,385,265,30,15,5
35240428,160,100,20,20,0
35240429,130,75,40,15,5
35240431,25,50,15,25,10
35240432,90,105,15,25,10
35240433,45,95,40,40,20
35240436,50,55,25,5,5
35240437,130,100,30,25,5
35240438,45,75,30,55,15
35240439,45,75,35,35,10
35240440,90,85,25,25,5
35240441,115,110,40,35,15
35240442,60,60,35,30,15
35240443,55,80,45,45,15
35240444,75,70,15,35,20
35240445,120,110,40,25,10
35240446,165,130,30,10,0
35240447,155,125,35,25,5
35240448,55,70,35,45,15
35240449,25,35,25,15,15
35240450,85,105,40,35,15
35240451,70,70,40,40,15
35240452,25,35,20,30,15
35240453,25,75,45,45,15
35240455,285,130,15,20,0
35240459,20,50,30,35,15
35240460,30,70,30,30,10
35240461,10,55,30,35,25
35240462,70,85,25,10,10
35240463,45,90,35,40,25
35240464,45,50,15,10,5
35240465,250,160,45,15,10
35240466,120,125,45,30,10
35240467,90,85,35,35,25
35240468,20,55,40,30,20
35240469,120,75,30,20,10
35240470,25,80,30,40,35
35240471,25,60,25,40,25
35240472,35,85,45,55,20
35240473,30,50,30,65,15
35240474,30,75,45,55,20
35240475,30,85,35,55,25
35240476,20,60,30,45,35
35240477,30,70,45,60,25
35240478,15,40,30,25,10
35240479,110,55,20,15,10
35240480,105,110,70,65,25
35240481,30,70,30,35,10
35240482,65,120,60,45,15
35240483,65,90,35,30,5
35240484,110,185,75,70,30
35240485,15,55,25,30,15
35240486,35,90,45,55,15
35240487,20,35,25,15,10
35240488,90,160,105,75,35
35240489,20,65,25,45,15
35240490,15,40,20,20,10
35240491,20,75,40,45,20
35240492,55,80,40,40,15
35240493,225,180,25,20,0
35240494,20,55,35,40,10
35240495,150,85,25,35,15
35240496,20,60,25,35,20
35240497,15,55,30,35,20
35240498,20,50,15,35,15
35240499,10,35,25,25,10
35240501,10,40,15,20,10
35240503,30,70,25,35,10
35240504,30,45,35,25,20
35240505,35,65,45,45,25
35240506,25,70,35,25,15
35240507,40,90,35,35,5
35240508,40,75,50,60,30
35240509,70,95,50,35,10
35240512,75,70,35,5,0
35240513,70,80,30,30,5
35240516,35,100,30,40,20
35240517,25,60,30,40,15
35240518,35,95,45,55,20
35240519,20,60,20,40,10
35240520,50,110,60,50,15
35240521,25,105,40,45,25
35240522,20,75,30,35,10
35240523,15,55,30,35,20
35240524,20,70,25,35,20
35240525,15,80,25,55,25
35240526,15,45,20,20,10
35240528,20,40,30,40,15
35240529,25,40,40,45,15
35240530,10,55,35,20,20
35240531,0,50,30,35,20
35240532,200,185,80,60,20
35240533,10,40,25,30,10
35240534,15,30,40,30,30
35240535,25,65,40,30,15
35240536,110,135,45,30,10
35240537,55,100,45,25,20
35240538,95,120,85,55,35
35240539,145,160,60,15,5
35240540,20,65,30,35,15
35240541,15,35,30,40,15
35240542,90,100,25,20,5
35240543,35,90,30,35,20
35240544,40,50,40,45,25
35240545,35,115,60,95,35
35240546,90,120,65,30,15
35240590,275,200,55,35,15
35240591,200,210,75,55,10
35240592,330,295,145,95,45
35240593,110,190,90,80,35
35240594,35,95,80,55,40
35240595,230,160,40,45,20
35240596,410,320,60,20,5
35240598,650,465,105,50,20
35240641,20,55,35,45,15
35240642,20,65,20,45,15
35240643,35,85,45,40,25
35240644,25,70,40,30,25
35240645,30,65,25,35,25
35240647,45,110,35,40,20
35240648,120,110,75,35,10
35240649,45,50,50,50,20
35240650,25,60,35,70,40
35240651,50,65,30,35,15
35240654,5,40,30,75,30
35240655,75,230,60,85,40
35240656,5,45,20,50,15
35240659,125,135,75,35,20
35240660,50,95,50,40,5
