geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35240466,male,15,35,50,40,10,30
35240467,female,0,10,30,35,20,25
35240467,male,0,20,35,25,0,15
35240468,female,0,15,35,35,35,10
35240468,male,0,30,35,40,20,25
35240469,female,0,15,40,30,20,55
35240469,male,20,15,40,25,10,15
35240470,female,0,15,20,30,55,0
35240470,male,10,15,55,35,25,0
35240471,female,0,10,25,20,10,0
35240471,male,10,10,25,25,25,15
35240472,female,10,20,50,25,45,25
35240472,male,0,25,50,40,15,10
35240473,female,0,10,25,25,20,20
35240473,male,0,15,30,25,0,10
35240474,female,10,0,45,50,15,15
35240474,male,0,20,45,40,0,25
35240475,female,0,20,25,55,35,30
35240475,male,0,40,75,25,40,20
35240476,female,0,15,30,40,15,20
35240476,male,0,20,40,50,15,15
35240477,female,0,10,40,30,35,15
35240477,male,15,25,50,30,10,10
35240478,female,10,10,10,25,15,25
35240478,male,0,25,15,25,0,20
35240479,female,0,10,15,25,10,10
35240479,male,0,0,20,10,0,20
35240480,female,15,25,40,45,40,15
35240480,male,10,35,50,15,15,45
35240481,female,0,10,35,30,10,10
35240481,male,20,20,40,15,0,15
35240482,female,0,40,55,40,20,30
35240482,male,15,55,55,40,15,10
35240483,female,0,20,70,30,0,10
35240483,male,15,20,50,30,10,15
35240484,female,10,45,90,95,40,30
35240484,male,20,50,85,55,35,45
35240485,female,0,10,25,25,10,15
35240485,male,10,10,30,20,10,10
35240486,female,0,0,45,50,25,25
35240486,male,15,35,55,30,15,10
35240487,female,0,10,10,25,0,0
35240487,male,0,15,25,0,10,10
35240488,female,20,50,110,125,65,40
35240488,male,35,55,95,100,50,105
35240489,female,10,30,25,35,10,0
35240489,male,10,25,30,15,0,35
35240490,female,0,15,20,10,10,10
35240490,male,0,0,35,0,10,15
35240491,female,10,15,50,45,10,10
35240491,male,15,30,45,35,15,15
35240492,female,0,20,50,20,25,45
35240492,male,20,20,55,25,15,35
35240493,female,0,25,35,15,20,15
35240493,male,10,30,30,10,10,25
35240494,female,10,10,45,45,15,10
35240494,male,15,20,30,30,15,30
35240495,female,10,15,50,20,0,25
35240495,male,15,30,30,15,20,30
35240496,female,0,10,25,10,15,10
35240496,male,15,25,20,15,10,20
35240497,female,0,10,50,25,25,25
35240497,male,0,50,35,15,10,10
35240498,female,0,0,35,25,10,0
35240498,male,0,20,15,25,0,0
35240499,female,0,0,25,20,25,10
35240499,male,0,15,30,10,10,15
35240501,female,0,10,25,20,0,10
35240501,male,0,15,20,15,10,10
35240503,female,0,20,20,15,40,15
35240503,male,20,30,40,25,0,30
35240504,female,0,0,50,25,15,15
35240504,male,20,15,35,20,15,10
35240505,female,10,20,50,40,10,15
35240505,male,10,10,60,10,10,15
35240506,female,10,10,40,20,0,20
35240506,male,20,20,30,30,10,20
35240507,female,10,10,40,30,20,35
35240507,male,10,30,20,25,20,15
35240508,female,0,30,30,45,20,20
35240508,male,0,30,80,45,15,25
35240509,female,10,15,50,40,25,15
35240509,male,20,25,35,20,10,20
35240512,female,10,10,20,10,10,15
35240512,male,10,0,15,15,0,15
35240513,female,10,25,35,25,15,15
35240513,male,10,20,30,25,10,20
35240516,female,10,20,20,40,25,15
35240516,male,15,20,50,40,15,25
35240517,female,10,10,40,30,10,10
35240517,male,20,35,45,15,15,25
35240518,female,0,15,65,35,35,25
35240518,male,15,30,35,40,15,40
35240519,female,0,20,20,25,15,0
35240519,male,15,35,20,10,0,15
35240520,female,10,10,65,30,30,45
35240520,male,10,50,45,20,25,20
35240521,female,0,0,45,45,20,15
35240521,male,0,30,50,40,10,10
35240522,female,0,0,25,15,10,0
35240522,male,10,10,20,30,10,10
35240523,female,0,10,30,25,15,10
35240523,male,0,20,45,10,0,15
35240524,female,0,10,40,35,30,0
35240524,male,10,0,30,20,15,15
35240525,female,10,10,65,35,15,10
35240525,male,0,25,30,40,10,10
35240526,female,0,0,15,20,10,10
35240526,male,0,15,0,15,15,25
35240528,female,0,20,20,40,15,10
35240528,male,25,15,40,45,0,25
35240529,female,0,15,30,50,10,20
35240529,male,10,35,30,20,10,10
35240530,female,0,15,50,30,10,30
35240530,male,20,30,50,15,10,25
35240531,female,0,10,45,30,15,30
35240531,male,15,30,25,10,10,20
35240532,female,10,55,135,85,45,40
35240532,male,35,65,80,55,35,55
35240533,female,10,10,30,20,25,15
35240533,male,15,30,35,15,10,20
35240534,female,0,20,35,25,15,20
35240534,male,15,40,35,10,15,40
35240535,female,0,10,45,20,10,20
35240535,male,10,30,50,10,20,30
35240536,female,10,25,55,45,35,10
35240536,male,30,35,60,35,25,20
35240537,female,0,20,40,95,25,30
35240537,male,20,30,50,30,0,30
35240538,female,20,25,90,60,40,105
35240538,male,50,55,65,35,0,70
35240539,female,10,30,40,60,60,45
35240539,male,30,35,50,55,20,60
35240540,female,0,15,30,30,30,15
35240540,male,0,25,25,25,10,10
35240541,female,10,15,25,15,25,10
35240541,male,0,30,35,20,10,15
35240542,female,0,15,35,40,20,20
35240542,male,30,15,25,15,0,15
35240543,female,10,10,45,35,10,30
35240543,male,10,15,45,40,25,25
35240544,female,0,10,45,35,10,25
35240544,male,10,25,25,10,10,10
35240545,female,0,10,70,90,30,25
35240545,male,25,55,75,40,10,35
35240546,female,0,20,30,60,15,55
35240546,male,45,20,20,40,25,40
35240590,female,10,25,90,70,45,50
35240590,male,25,60,60,45,15,30
35240591,female,10,25,60,95,40,45
35240591,male,25,65,50,60,20,55
35240592,female,25,75,95,135,60,45
35240592,male,95,140,105,80,30,105
35240593,female,10,40,120,70,20,40
35240593,male,30,65,100,35,40,80
35240594,female,15,15,75,50,35,20
35240594,male,35,40,45,50,20,55
35240595,female,10,25,95,75,25,25
35240595,male,50,30,30,45,15,25
35240596,female,10,35,50,70,20,10
35240596,male,20,35,55,45,20,35
35240598,female,30,55,120,135,85,65
35240598,male,25,95,120,90,40,75
35240641,female,0,10,30,45,20,0
35240641,male,15,30,15,25,25,15
35240642,female,0,0,30,30,35,0
35240642,male,15,10,35,30,15,10
35240643,female,0,15,30,45,20,15
35240643,male,30,25,65,20,30,20
35240644,female,0,15,10,25,25,10
35240644,male,0,0,30,25,15,20
35240645,female,0,0,10,30,0,15
35240645,male,10,20,10,50,0,10
35240647,female,10,20,45,30,25,15
35240647,male,20,30,25,30,20,10
35240648,female,0,30,75,70,40,35
35240648,male,25,55,50,15,10,20
35240649,female,0,25,60,45,40,40
35240649,male,0,70,45,20,15,30
35240650,female,0,20,40,75,20,25
35240650,male,10,20,55,65,15,40
35240651,female,10,0,35,65,0,15
35240651,male,10,20,30,40,20,0
35240654,female,0,0,55,50,25,20
35240654,male,10,10,45,50,10,35
35240655,female,10,15,70,50,30,40
35240655,male,10,25,75,45,45,20
35240656,female,0,20,15,30,10,0
35240656,male,0,15,30,40,0,0
35240659,female,15,45,60,40,50,30
35240659,male,30,55,50,20,10,15
35240660,female,0,10,50,60,0,25
35240660,male,10,10,35,35,10,15
35240661,female,0,15,25,55,20,0
35240661,male,10,25,55,50,15,10
35240662,female,35,55,150,115,40,40
35240662,male,35,80,115,90,35,55
35240663,female,0,20,35,55,20,30
35240663,male,10,25,25,45,20,15
35240664,female,0,25,40,30,0,10
35240664,male,0,25,60,30,0,0
35240665,female,0,15,25,50,10,15
35240665,male,10,10,40,15,0,20
35240666,female,10,30,90,75,25,20
35240666,male,20,55,50,30,35,20
35240667,female,0,40,70,55,25,15
35240667,male,0,20,55,35,35,10
35240668,female,0,25,35,55,15,20
35240668,male,20,35,45,35,15,10
35240669,female,0,45,95,70,25,40
35240669,male,45,65,60,50,30,45
35240670,female,0,10,80,45,20,15
35240670,male,20,15,65,40,20,10
35240671,female,0,10,65,40,35,10
35240671,male,10,15,60,35,20,30
35240672,female,10,35,70,60,30,30
35240672,male,50,35,75,30,25,25
35240673,female,0,15,40,20,10,10
35240673,male,20,10,10,30,30,10
35240674,female,0,10,55,70,30,0
35240674,male,25,35,40,95,0,15
35240675,female,10,15,105,100,25,40
35240675,male,10,60,110,85,25,15
35240676,female,15,35,70,80,30,35
35240676,male,15,45,45,55,30,50
35240677,female,0,20,30,25,15,20
35240677,male,25,20,35,25,10,20
35240678,female,25,55,100,95,45,35
35240678,male,40,85,90,70,25,45
35240679,female,10,30,60,55,15,15
35240679,male,25,40,40,60,20,20
35240680,female,20,45,125,70,25,45
35240680,male,25,60,85,80,50,55
35240681,female,10,30,25,45,20,0
35240681,male,10,20,55,25,10,15
35240682,female,15,15,65,65,30,15
35240682,male,20,60,40,50,10,20
35240683,female,0,15,55,65,35,15
35240683,male,20,35,55,30,15,20
35240684,female,15,40,75,50,25,10
35240684,male,20,15,80,20,0,15
35240685,female,15,40,100,80,35,20
35240685,male,15,35,115,50,30,40
35240686,female,10,20,100,90,30,65
35240686,male,10,50,80,105,30,40
35240756,female,15,10,60,55,20,35
35240756,male,0,30,85,15,35,40
35240757,female,0,25,45,60,15,10
35240757,male,10,20,65,35,0,10
35240758,female,0,25,70,65,30,45
35240758,male,30,30,80,55,20,55
35240759,female,0,10,20,40,10,20
35240759,male,10,20,40,30,0,35
35240780,female,15,35,65,75,35,25
35240780,male,25,25,60,80,20,20
35240782,female,10,30,40,60,25,15
35240782,male,15,40,60,40,10,40
35240783,female,0,15,20,15,15,0
35240783,male,10,20,0,10,0,0
35240785,female,0,15,80,35,25,40
35240785,male,25,35,60,60,25,25
